stratum,comparison,images,mean_difference,ci95_low,ci95_high,left_wins,ties,right_wins
no_overlap__high_mask_area,YOLO + SAM3 - SAM3 text-only,32,0.20255293530042356,0.12774600484870866,0.279497916146456,26,0,6
no_overlap__high_mask_area,GT bbox + SAM3 - YOLO + SAM3,32,0.11107537622523009,0.07201562388700854,0.16022405816133775,29,0,3
no_overlap__high_mask_area,GT bbox + SAM3 - SAM3 text-only,32,0.3136283115256536,0.24360398947067752,0.3879350402245534,31,0,1
no_overlap__high_mask_area,YOLO + SAM3 - YOLO + SAM2,32,-0.006919459450859665,-0.0578073483343764,0.03656348027220569,19,0,13
no_overlap__high_mask_area,GroundingDINO + SAM2 - SAM3 text-only,32,-0.2246718259043829,-0.302593359633332,-0.14722774449193002,4,0,28
no_overlap__high_mask_area,GroundingDINO + SAM2 - YOLO + SAM2,32,-0.43414422065566616,-0.4973499091419365,-0.37239891281566795,0,0,32
no_overlap__high_mask_area,SegEarth-OV3 + SAM3 - SAM3 text-only,32,0.01688182872642892,0.0011724878144898068,0.03800654413551246,20,0,12
no_overlap__high_mask_area,SegEarth-OV3 + SAM3 - GroundingDINO + SAM2,32,0.24155365463081185,0.1618583307346998,0.32265727299403385,27,0,5
no_overlap__high_mask_area,RemoteSAM text - SAM3 text-only,32,0.13187514930031186,0.05048229046229428,0.21172927815315246,21,0,11
no_overlap__high_mask_area,RemoteSAM text - SegEarth-OV3 + SAM3,32,0.11499332057388294,0.03242061812522621,0.19748861710308432,19,0,13
no_overlap__high_mask_area,YOLO + RingMo-SAM - YOLO + SAM2,32,-0.20238573460500608,-0.25533060603608004,-0.15658141870613754,1,0,31
no_overlap__high_mask_area,GT bbox + RingMo-SAM - GT bbox + SAM3,32,-0.27238372727112303,-0.3578250598941219,-0.1954682474024928,2,0,30
no_overlap__high_mask_area,GT bbox + RingMo-SAM - YOLO + RingMo-SAM,32,0.034157924108253475,0.020052923122159047,0.051228117729177174,31,1,0
no_overlap__low_mask_area,YOLO + SAM3 - SAM3 text-only,32,0.12882858951415632,0.034485930271011926,0.22157700039938893,20,6,6
no_overlap__low_mask_area,GT bbox + SAM3 - YOLO + SAM3,32,0.19019889043805832,0.11855313529804705,0.2682895678795729,26,2,4
no_overlap__low_mask_area,GT bbox + SAM3 - SAM3 text-only,32,0.3190274799522147,0.23142823519251715,0.4104771766337782,28,2,2
no_overlap__low_mask_area,YOLO + SAM3 - YOLO + SAM2,32,-0.05691182582606089,-0.09969196251503896,-0.019643567530560384,6,4,22
no_overlap__low_mask_area,GroundingDINO + SAM2 - SAM3 text-only,32,-0.1527534168382708,-0.23701517825620336,-0.08205289467728619,3,6,23
no_overlap__low_mask_area,GroundingDINO + SAM2 - YOLO + SAM2,32,-0.33849383217848794,-0.4219520964448114,-0.2530213599407198,1,5,26
no_overlap__low_mask_area,SegEarth-OV3 + SAM3 - SAM3 text-only,32,-0.004356999764309663,-0.027388659308383374,0.01304389562020118,15,7,10
no_overlap__low_mask_area,SegEarth-OV3 + SAM3 - GroundingDINO + SAM2,32,0.14839641707396112,0.07793466439777241,0.23427123441300518,23,6,3
no_overlap__low_mask_area,RemoteSAM text - SAM3 text-only,32,0.17731066604251616,0.09875213480105252,0.2622758562801914,23,4,5
no_overlap__low_mask_area,RemoteSAM text - SegEarth-OV3 + SAM3,32,0.18166766580682586,0.10395268106696245,0.26788804564890667,23,3,6
no_overlap__low_mask_area,YOLO + RingMo-SAM - YOLO + SAM2,32,-0.2462967508706763,-0.3407712823133525,-0.1482014004803979,1,5,26
no_overlap__low_mask_area,GT bbox + RingMo-SAM - GT bbox + SAM3,32,-0.35888444230039773,-0.46294074831196735,-0.2568536162784418,2,2,28
no_overlap__low_mask_area,GT bbox + RingMo-SAM - YOLO + RingMo-SAM,32,0.020699373182275924,0.005656451940859126,0.04121565174619728,9,22,1
overlap__high_mask_area,YOLO + SAM3 - SAM3 text-only,32,0.11190875823279843,0.06886790797817052,0.15687817960881725,28,0,4
overlap__high_mask_area,GT bbox + SAM3 - YOLO + SAM3,32,0.05992877522009582,0.03548315810508808,0.08800754593263578,29,0,3
overlap__high_mask_area,GT bbox + SAM3 - SAM3 text-only,32,0.17183753345289426,0.11884938224546064,0.22947925930250926,32,0,0
overlap__high_mask_area,YOLO + SAM3 - YOLO + SAM2,32,-0.039674454151244945,-0.07383781119641418,-0.009155805589479819,6,0,26
overlap__high_mask_area,GroundingDINO + SAM2 - SAM3 text-only,32,-0.2877257409687193,-0.35022531410813573,-0.22575209808160895,0,0,32
overlap__high_mask_area,GroundingDINO + SAM2 - YOLO + SAM2,32,-0.43930895335276265,-0.4853984511977619,-0.3937995878996219,0,0,32
overlap__high_mask_area,SegEarth-OV3 + SAM3 - SAM3 text-only,32,0.027324868348779768,-0.020625914801724564,0.06210593410466061,24,0,8
overlap__high_mask_area,SegEarth-OV3 + SAM3 - GroundingDINO + SAM2,32,0.31505060931749906,0.25209468334707985,0.3784582146277967,32,0,0
overlap__high_mask_area,RemoteSAM text - SAM3 text-only,32,0.0737308613863537,0.024065633813077473,0.12575080822175191,20,0,12
overlap__high_mask_area,RemoteSAM text - SegEarth-OV3 + SAM3,32,0.04640599303757394,-0.008628823905466673,0.11197601202490601,13,0,19
overlap__high_mask_area,YOLO + RingMo-SAM - YOLO + SAM2,32,-0.192979023581015,-0.2529375269525301,-0.13794201934568623,1,0,31
overlap__high_mask_area,GT bbox + RingMo-SAM - GT bbox + SAM3,32,-0.19161565048589946,-0.2767500043272945,-0.1155853778993048,7,0,25
overlap__high_mask_area,GT bbox + RingMo-SAM - YOLO + RingMo-SAM,32,0.021617694163966424,0.014588914670485344,0.029864338707904493,30,1,1
overlap__low_mask_area,YOLO + SAM3 - SAM3 text-only,32,0.09157245575454623,0.039088720444489106,0.15104283253322281,23,3,6
overlap__low_mask_area,GT bbox + SAM3 - YOLO + SAM3,32,0.10042811015273859,0.06599860988688001,0.13862989984040436,27,2,3
overlap__low_mask_area,GT bbox + SAM3 - SAM3 text-only,32,0.19200056590728484,0.13145943418874564,0.26187485757550205,29,2,1
overlap__low_mask_area,YOLO + SAM3 - YOLO + SAM2,32,-0.0007244176379900954,-0.013030575965679027,0.010853052431189818,13,4,15
overlap__low_mask_area,GroundingDINO + SAM2 - SAM3 text-only,32,-0.14527803084386048,-0.2065100146863015,-0.08880635975735168,7,3,22
overlap__low_mask_area,GroundingDINO + SAM2 - YOLO + SAM2,32,-0.2375749042363968,-0.3030253663245733,-0.17389854471665597,2,3,27
overlap__low_mask_area,SegEarth-OV3 + SAM3 - SAM3 text-only,32,0.045280428241630005,0.020521480454800307,0.07958531706119677,26,5,1
overlap__low_mask_area,SegEarth-OV3 + SAM3 - GroundingDINO + SAM2,32,0.1905584590854905,0.1291064295224286,0.25509741053474994,26,1,5
overlap__low_mask_area,RemoteSAM text - SAM3 text-only,32,0.06170285184071624,0.018532838130819615,0.11267057892739124,18,3,11
overlap__low_mask_area,RemoteSAM text - SegEarth-OV3 + SAM3,32,0.016422423599086227,-0.029435964166484637,0.06890246726982541,10,2,20
overlap__low_mask_area,YOLO + RingMo-SAM - YOLO + SAM2,32,-0.15316651187599142,-0.22231799758921092,-0.09043386484258158,3,5,24
overlap__low_mask_area,GT bbox + RingMo-SAM - GT bbox + SAM3,32,-0.21894804364654846,-0.30434077104630647,-0.13868134574545046,6,2,24
overlap__low_mask_area,GT bbox + RingMo-SAM - YOLO + RingMo-SAM,32,0.03392216074419147,0.017471999051283375,0.052903040724033935,22,10,0
