stratum,overlap_group,stratify_group,pipeline,pipeline_label,images,mean_objects,mean_mask_area_ratio,mean_iou,mean_dice,mean_precision,mean_recall,mean_pred_area_ratio,zero_iou_images
no_overlap__high_mask_area,no_overlap,high_mask_area,grounded_sam2,GroundingDINO + SAM2,32,23.0,0.014483511447906453,0.0997213599090394,0.16599040745216842,0.13716324355457882,0.41832866195648566,9.230544366361203,2
no_overlap__high_mask_area,no_overlap,high_mask_area,gt_box_ringmo_sam,GT bbox + RingMo-SAM,32,23.0,0.014483511447906453,0.36563777006795295,0.496250446284499,0.8841714075736876,0.3870245653670208,0.4278694478040774,1
no_overlap__high_mask_area,no_overlap,high_mask_area,gt_box_sam3,GT bbox + SAM3,32,23.0,0.014483511447906453,0.638021497339076,0.7676672844824846,0.6704774886594457,0.9310344534852987,1.5964569319229156,0
no_overlap__high_mask_area,no_overlap,high_mask_area,remotesam_text,RemoteSAM text,32,23.0,0.014483511447906453,0.45626833511373416,0.5989292349083268,0.6415471666109199,0.6222587329164488,0.9513069397628541,1
no_overlap__high_mask_area,no_overlap,high_mask_area,sam3_text,SAM3 text-only,32,23.0,0.014483511447906453,0.3243931858134223,0.45299297654513926,0.41253236453403974,0.746007258204488,3.3583143269724345,0
no_overlap__high_mask_area,no_overlap,high_mask_area,segearth_ov3,SegEarth-OV3 + SAM3,32,23.0,0.014483511447906453,0.3412750145398512,0.47022644616843284,0.40517534036395325,0.7773373599216346,3.476962459701035,0
no_overlap__high_mask_area,no_overlap,high_mask_area,yolo_ringmo_sam,YOLO + RingMo-SAM,32,23.0,0.014483511447906453,0.3314798459596994,0.4570362050762061,0.8026988634127519,0.3597332620679486,0.4199205348490727,1
no_overlap__high_mask_area,no_overlap,high_mask_area,yolo_sam2,YOLO + SAM2,32,23.0,0.014483511447906453,0.5338655805647056,0.677883991576059,0.6960387104088781,0.7138857592666311,1.0474622216189726,0
no_overlap__high_mask_area,no_overlap,high_mask_area,yolo_sam3,YOLO + SAM3,32,23.0,0.014483511447906453,0.5269461211138459,0.6669297153638517,0.6304038910500829,0.7722320144607214,2.7088960822295305,0
no_overlap__low_mask_area,no_overlap,low_mask_area,grounded_sam2,GroundingDINO + SAM2,32,4.28125,0.0010233819484710238,0.026191211011172208,0.044658808211186334,0.030836030878514425,0.3628706410446314,286.15276908267543,14
no_overlap__low_mask_area,no_overlap,low_mask_area,gt_box_ringmo_sam,GT bbox + RingMo-SAM,32,4.28125,0.0010233819484710238,0.13908766550125987,0.18940240780540527,0.5055579800272376,0.14486035371709347,0.15672564435614086,15
no_overlap__low_mask_area,no_overlap,low_mask_area,gt_box_sam3,GT bbox + SAM3,32,4.28125,0.0010233819484710238,0.4979721078016576,0.6171749661982336,0.5327240733268768,0.8549489347987284,11.419531879690467,2
no_overlap__low_mask_area,no_overlap,low_mask_area,remotesam_text,RemoteSAM text,32,4.28125,0.0010233819484710238,0.3562552938919592,0.46867800558850237,0.45087069471272967,0.6190468180413,6.363455318764759,4
no_overlap__low_mask_area,no_overlap,low_mask_area,sam3_text,SAM3 text-only,32,4.28125,0.0010233819484710238,0.17894462784944298,0.2494654395255665,0.23874714896314234,0.579712521573849,77.36082775214764,8
no_overlap__low_mask_area,no_overlap,low_mask_area,segearth_ov3,SegEarth-OV3 + SAM3,32,4.28125,0.0010233819484710238,0.17458762808513334,0.23955314749972412,0.22469793066786023,0.5809577447377801,76.47376583496971,9
no_overlap__low_mask_area,no_overlap,low_mask_area,yolo_ringmo_sam,YOLO + RingMo-SAM,32,4.28125,0.0010233819484710238,0.11838829231898394,0.16810172225635214,0.4295558942608575,0.1371969453878548,0.4219989282534906,16
no_overlap__low_mask_area,no_overlap,low_mask_area,yolo_sam2,YOLO + SAM2,32,4.28125,0.0010233819484710238,0.3646850431896602,0.47713209015850283,0.4455736509963799,0.6320281879341446,3.164728787918595,5
no_overlap__low_mask_area,no_overlap,low_mask_area,yolo_sam3,YOLO + SAM3,32,4.28125,0.0010233819484710238,0.3077732173635993,0.4127996670387018,0.37866670157908255,0.6256114098213588,11.554474370169816,6
overlap__high_mask_area,overlap,high_mask_area,grounded_sam2,GroundingDINO + SAM2,32,76.875,0.037095606327056836,0.12965689759460938,0.21355979708620945,0.21666056921073634,0.3621028333601653,3.8271179531247395,0
overlap__high_mask_area,overlap,high_mask_area,gt_box_ringmo_sam,GT bbox + RingMo-SAM,32,76.875,0.037095606327056836,0.3976045215303235,0.5221475190476961,0.8801636793116212,0.42890478616038696,0.48956037673065955,0
overlap__high_mask_area,overlap,high_mask_area,gt_box_sam3,GT bbox + SAM3,32,76.875,0.037095606327056836,0.5892201720162229,0.723512748493989,0.6721968650318444,0.8128066213899655,1.211879538742068,0
overlap__high_mask_area,overlap,high_mask_area,remotesam_text,RemoteSAM text,32,76.875,0.037095606327056836,0.4911134999496824,0.6341114726361472,0.6250596324197518,0.694398039596769,1.1070957562805261,0
overlap__high_mask_area,overlap,high_mask_area,sam3_text,SAM3 text-only,32,76.875,0.037095606327056836,0.4173826385633287,0.5488874181549181,0.531516642536512,0.6456957361819551,1.5401908693405646,0
overlap__high_mask_area,overlap,high_mask_area,segearth_ov3,SegEarth-OV3 + SAM3,32,76.875,0.037095606327056836,0.4447075069121084,0.5786018942107518,0.5170845238872055,0.7634303719788981,1.9715126854690526,0
overlap__high_mask_area,overlap,high_mask_area,yolo_ringmo_sam,YOLO + RingMo-SAM,32,76.875,0.037095606327056836,0.375986827366357,0.5002797636271568,0.8434572034484512,0.4173843511596654,0.5036016186576477,0
overlap__high_mask_area,overlap,high_mask_area,yolo_sam2,YOLO + SAM2,32,76.875,0.037095606327056836,0.5689658509473721,0.7105946801077647,0.6745101608512841,0.7730969616990679,1.1592184224810045,0
overlap__high_mask_area,overlap,high_mask_area,yolo_sam3,YOLO + SAM3,32,76.875,0.037095606327056836,0.5292913967961271,0.6715489663907152,0.656682019250866,0.7181794070320378,1.0930929511193652,0
overlap__low_mask_area,overlap,low_mask_area,grounded_sam2,GroundingDINO + SAM2,32,30.0625,0.002266108989715525,0.029495557813090836,0.05403524700489159,0.03900598612420539,0.35036816151207684,32.09110067173881,5
overlap__low_mask_area,overlap,low_mask_area,gt_box_ringmo_sam,GT bbox + RingMo-SAM,32,30.0625,0.002266108989715525,0.1478261109176877,0.22908499400781795,0.628848991946774,0.16511792333821879,0.22882071976300264,6
overlap__low_mask_area,overlap,low_mask_area,gt_box_sam3,GT bbox + SAM3,32,30.0625,0.002266108989715525,0.3667741545642361,0.4956481402154294,0.45513182652793394,0.630187778903445,1.655388560932272,3
