Table,Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,Pred/GT Area,mAP50 proxy,mAP75 proxy,mAP90 proxy,mAP50-95 proxy
Overall,SAM3 text only,128,0.2739,0.3782,0.3589,0.5850,21.4385,0.2109,0.0469,0.0000,0.0773
Overall,SAM3 YOLO bbox,128,0.4076,0.5328,0.5130,0.6485,4.2319,0.3750,0.0781,0.0000,0.1375
Overall,SAM3 GT bbox,128,0.5230,0.6510,0.5826,0.8072,3.9708,0.6641,0.1484,0.0078,0.2414
Overall,SAM3 hybrid YOLO bbox,128,0.3413,0.4554,0.4127,0.6655,12.2751,0.3125,0.0625,0.0000,0.1102
Overall,RemoteSAM text only,128,0.3850,0.5132,0.5244,0.5993,2.8578,0.3359,0.0234,0.0000,0.1125
Overall,RingMo-SAM GT bbox,128,0.2625,0.3592,0.7247,0.2815,0.3257,0.1875,0.0469,0.0000,0.0703
Overall,RingMo-SAM YOLO bbox,128,0.2349,0.3266,0.6292,0.2630,0.4435,0.1641,0.0391,0.0000,0.0547
Overall,SAM2 GT bbox,128,0.6581,0.7842,0.6929,0.9278,1.4278,0.8750,0.2656,0.0000,0.3922
Overall,SAM2 YOLO bbox,128,0.4336,0.5615,0.5494,0.6549,1.8826,0.4141,0.1016,0.0000,0.1523
No Overlap / Low Mask Area,SAM3 text only,32,0.1789,0.2495,0.2387,0.5797,77.3608,0.1250,0.0625,0.0000,0.0531
No Overlap / Low Mask Area,SAM3 YOLO bbox,32,0.3078,0.4128,0.3787,0.6256,11.5545,0.2500,0.0312,0.0000,0.0969
No Overlap / Low Mask Area,SAM3 GT bbox,32,0.4980,0.6172,0.5327,0.8549,11.4195,0.6250,0.1562,0.0312,0.2406
No Overlap / Low Mask Area,SAM3 hybrid YOLO bbox,32,0.1889,0.2723,0.2345,0.6375,42.7998,0.1250,0.0000,0.0000,0.0375
No Overlap / Low Mask Area,RemoteSAM text only,32,0.3563,0.4687,0.4509,0.6190,6.3635,0.3125,0.0625,0.0000,0.1156
