image,pipeline,pipeline_label,family,stratum,overlap_group,area_group,num_objects,mask_area_ratio,max_pair_bbox_iou,iou,dice,precision,recall,pred_area_ratio
P0000_0023.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0292005538940429,0.0,0.775582557127663,0.8736091194568986,0.9833278849297156,0.7859172409288351,0.7992423005323492
P0022_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0326519012451171,0.0,4.982623101932012e-05,9.964749697943524e-05,8.687153871212943e-05,0.00011682925404521292,1.3448507506279572
P0022_0012.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0253229141235351,0.0,0.664562504561045,0.7984830881869397,0.9552606734501207,0.6859111964749746,0.7180356268594885
P0022_0020.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0269107818603515,0.0,0.6808637640449439,0.8101355726849241,0.9866687019793415,0.6871854844425545,0.6964703380820753
P0022_0039.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0258398056030273,0.0,0.6341043847448943,0.7760879790355455,0.9870670009115771,0.63941686658055,0.6477947960878391
P0023_0000.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0189552307128906,0.0,0.5861032307236312,0.7390480258415868,0.7872376727520901,0.6964177902998592,0.8846347353592272
P0023_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0263729095458984,0.0,0.8470743730799457,0.9172065677761232,0.9858645491206918,0.857488970854126,0.8697837564186013
P0023_0016.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0239839553833007,0.0,0.87004213003378,0.9305053785264867,0.9503337340906264,0.9114875342955983,0.9591236232056941
P0036_0011.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0374155044555664,0.0,0.627971852224177,0.7714775306049987,0.978194487942374,0.6368873142507583,0.6510845461728647
P0038_0000.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.028752326965332,0.0,0.8909859431829352,0.9423506783802048,0.9865757201944706,0.9019204617068559,0.9141928422169889
P0038_0014.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0775680541992187,0.0,0.04439407242819001,0.08501402602750302,0.14063519995458804,0.06092013376610603,0.4331784203796597
P0041_0007.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,12,0.026137351989746,0.0,0.8689328773275297,0.9298706099815157,0.942306971865283,0.9177582369467654,0.9739482613930748
P0042_0004.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,12,0.0256576538085937,0.0,0.8613654562545695,0.9255199760586563,0.9315135542168674,0.9196030330062445,0.9872137972048766
P0179_0029.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,9,0.0230369567871093,0.0,0.9043804057555104,0.9497896565436698,0.9605045929814164,0.939311144229177,0.9779350885908263
P0183_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,16,0.0418987274169921,0.0,0.8426237385872177,0.9145912113704525,0.9542857142857143,0.8780671006509765,0.9201301952929394
P0183_0021.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,8,0.0348834991455078,0.0,0.7015310067529255,0.8245879786718371,0.9245872681568041,0.7441084805074089,0.8048006998742413
P0187_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,6,0.0236425399780273,0.0,0.6156875723978157,0.7621369167110492,0.7742539642901736,0.7503932878867331,0.9691823645677867
P0210_0002.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,13,0.0291433334350585,0.0,0.900636413060859,0.9477208864060843,0.9754087004710447,0.9215615694230832,0.9447953139827874
P0215_0002.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,6,0.027566909790039,0.0,0.7841991916688793,0.8790489260735131,0.8419218952902797,0.9196014668234969,1.092264581747734
P0223_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,20,0.0214204788208007,0.0,0.8116430213204406,0.8960297495351636,0.8807516986324934,0.9118472018164819,1.0353056408886514
P0785_0002.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0262002944946289,0.0,0.6328582796787962,0.7751539586194675,0.6521868787276341,0.9552651694390857,1.4647108069741201
P0785_0006.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0360174179077148,0.0,0.6146228750618914,0.7613206582847797,0.8487334765904799,0.6902322133079143,0.8132496624036858
P0785_0011.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0782375335693359,0.0,0.6394796392222473,0.7801007391901615,0.8418087869889316,0.7268217167654014,0.8634047636461152
P0786_0005.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,7,0.051091194152832,0.0,0.6978595858923908,0.8220462889757725,0.9791279669762641,0.7083978869953148,0.7234987773691972
P0840_0010.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0470380783081054,0.0,0.3251880369300966,0.4907802181544297,0.7289835384369506,0.36990856192851207,0.5074306104657057
P1049_0010.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0365800857543945,0.0,0.7310533625878137,0.8446341151435515,0.7623425692695214,0.946841515238418,1.242015798941523
P1078_0002.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,14,0.0347986221313476,0.0,0.9034116083296411,0.9492551210428305,0.9485537585857756,0.949957521444819,1.0014798980514676
P1114_0004.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0845603942871093,0.0,0.837720419115768,0.9116951745237102,0.982652329749104,0.8502954842784319,0.8653065367438084
P1117_0003.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.023604393005371,0.0,0.7894125616955385,0.8823147647376961,0.7966079624987793,0.9886873257646156,1.2411215708456225
P1122_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0320138931274414,0.0,0.6703094169431254,0.8026170602209443,0.7112552917356894,0.9209091721528792,1.2947660043492508
P1122_0018.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0481939315795898,0.0,0.8350663982416933,0.9101211804017875,0.9260973761291248,0.8946868506975364,0.9660829128326902
P1122_0019.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0483732223510742,0.0,0.8541604421870331,0.9213446935363667,0.9417553684297214,0.9017999723991089,0.9575734873725923
P1128_0000.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0256614685058593,0.0,0.00016981598122761516,0.00033957429731273247,0.00021428710576042702,0.0008176007135424409,3.8154452207521925
P1131_0037.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0708274841308593,0.0,0.0,0.0,0.0,0.0,0.8364032961706253
P1132_0020.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0179834365844726,0.0,0.0,0.0,0.0,0.0,1.5731028265365647
P1134_0000.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0407028198242187,0.0,0.8244595630064783,0.9037849670374424,0.9892182537471443,0.8319353327085286,0.8410028116213684
P1134_0004.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0324792861938476,0.0,0.8876831107281344,0.9405001355187516,0.9145766285650871,0.9679361071145433,1.0583433655342513
P1134_0008.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0337429046630859,0.0,0.9224876070301938,0.9596812001875293,0.9369682283252558,0.9835226951557289,1.049686281159912
P1139_0038.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0356531143188476,0.0,0.4883766008999654,0.6562540698431599,0.5030878724344986,0.9435067540457402,1.8754313227230173
P1139_0066.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0630884170532226,0.0,0.17266900656188006,0.2944889062398334,0.3823557808351436,0.23946003960515774,0.6262754523604371
P1139_0076.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.037388801574707,0.0,0.21928563351157493,0.35969526333222923,0.3742486903777226,0.3462313480423415,0.9251370998597118
P1140_0015.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0214862823486328,0.0,0.41023369611068927,0.5817953396548114,0.8921199889918356,0.4316466932978251,0.483843763870395
P1140_0035.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0211658477783203,0.0,0.9601033039451421,0.9796456156292594,0.9879043342802163,0.9715238352707939,0.9834189420564117
P1141_0007.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0205440521240234,0.0,0.8208507842654185,0.9016123576502424,0.8766828926018506,0.9280011141026832,1.0585368118094884
P1141_0025.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0573711395263671,0.0,0.7011722323074542,0.8243400861961998,0.8204646873816464,0.8282522690249011,1.0094916719305829
P1142_0006.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0579042434692382,0.0,0.9015494714726544,0.9482261545101425,0.9962454428382276,0.9046230874384439,0.9080323467892024
P1142_0015.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0370807647705078,0.0,0.6385552769345827,0.7794125543682543,0.8152204436955911,0.7466179723265264,0.9158479502083227
