table_key,table_title,pipeline,pipeline_label,family,images,avg_iou,avg_dice,avg_precision,avg_recall,avg_pred_gt_area,zero_iou_count,iou_ge_50_count,iou_ge_50_rate,iou_ge_75_count,iou_ge_75_rate,iou_ge_90_count,iou_ge_90_rate,map50_proxy,map75_proxy,map90_proxy,map50_95_proxy
no_overlap__low_mask_area,No Overlap / Low Mask Area,sam3_text,SAM3 text only,SAM3,128,0.6385311089780443,0.7369082424421534,0.7773544580454679,0.7295853541667048,2.146778165181452,9,102,0.796875,58,0.453125,11,0.0859375,0.796875,0.453125,0.0859375,0.44453125
no_overlap__low_mask_area,No Overlap / Low Mask Area,yolo_sam3,SAM3 YOLO bbox,SAM3,128,0.6449888813596317,0.7391217223901356,0.7440948349562756,0.7675778843368475,2.1821588845686053,10,102,0.796875,62,0.484375,9,0.0703125,0.796875,0.484375,0.0703125,0.4609375
no_overlap__low_mask_area,No Overlap / Low Mask Area,gt_box_sam3,SAM3 GT bbox,SAM3,128,0.721750829270859,0.8109500650483319,0.8027893955400736,0.855981287132292,1.4783129269608444,1,111,0.8671875,78,0.609375,15,0.1171875,0.8671875,0.609375,0.1171875,0.56328125
no_overlap__low_mask_area,No Overlap / Low Mask Area,sam3_hybrid_yolo,SAM3 hybrid YOLO bbox,SAM3,128,0.6439829768031724,0.7377689267292089,0.7410269263267122,0.768662532191658,2.429121709256068,10,101,0.7890625,63,0.4921875,10,0.078125,0.7890625,0.4921875,0.078125,0.465625
no_overlap__low_mask_area,No Overlap / Low Mask Area,remotesam_text,RemoteSAM text only,RemoteSAM,128,0.7824126243545608,0.8572103506274895,0.831132006373452,0.9018031544932634,2.011271401795521,2,117,0.9140625,101,0.7890625,20,0.15625,0.9140625,0.7890625,0.15625,0.66015625
no_overlap__low_mask_area,No Overlap / Low Mask Area,gt_box_ringmo_sam,RingMo-SAM GT bbox,RingMo-SAM,128,0.0011397618969229426,0.002248919019439987,0.1377563431031894,0.0011505728067343725,0.004229367155790063,104,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
no_overlap__low_mask_area,No Overlap / Low Mask Area,yolo_ringmo_sam,RingMo-SAM YOLO bbox,RingMo-SAM,128,0.0010582803244414255,0.0020872891851988684,0.12028052973260697,0.0010870361570311565,0.006526919759977142,105,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
no_overlap__low_mask_area,No Overlap / Low Mask Area,gt_box_sam1,SAM1 GT bbox,SAM1,128,0.8964361190113421,0.9265698496340162,0.9408766483583949,0.9243366778719133,1.2529964840638697,1,121,0.9453125,118,0.921875,103,0.8046875,0.9453125,0.921875,0.8046875,0.8765625
no_overlap__low_mask_area,No Overlap / Low Mask Area,yolo_sam1,SAM1 YOLO bbox,SAM1,128,0.7413359594288225,0.7998444258315589,0.805580400151599,0.8235215236618929,1.1131923595489885,10,103,0.8046875,86,0.671875,59,0.4609375,0.8046875,0.671875,0.4609375,0.64296875
no_overlap__low_mask_area,No Overlap / Low Mask Area,gt_box_sam2,SAM2 GT bbox,SAM2,128,0.8054689239410525,0.8709396271193302,0.8606751869359939,0.8972208209662446,1.151871019307677,1,120,0.9375,104,0.8125,33,0.2578125,0.9375,0.8125,0.2578125,0.70234375
no_overlap__low_mask_area,No Overlap / Low Mask Area,yolo_sam2,SAM2 YOLO bbox,SAM2,128,0.6735249340247991,0.7577393722836157,0.7411483217510219,0.8055577035365865,1.2070798016067852,9,102,0.796875,68,0.53125,23,0.1796875,0.796875,0.53125,0.1796875,0.51640625
