table_key,table_title,pipeline,pipeline_label,family,images,avg_iou,avg_dice,avg_precision,avg_recall,avg_pred_gt_area,zero_iou_count,iou_ge_50_count,iou_ge_50_rate,iou_ge_75_count,iou_ge_75_rate,iou_ge_90_count,iou_ge_90_rate,map50_proxy,map75_proxy,map90_proxy,map50_95_proxy
overlap__high_mask_area,Overlap / High Mask Area,sam3_text,SAM3 text only,SAM3,128,0.6752208950519752,0.7814080033656818,0.8071618256780884,0.7804992849557946,1.0285618464694748,0,104,0.8125,63,0.4921875,3,0.0234375,0.8125,0.4921875,0.0234375,0.471875
overlap__high_mask_area,Overlap / High Mask Area,yolo_sam3,SAM3 YOLO bbox,SAM3,128,0.6929320706112058,0.7879940309399558,0.7767761242307132,0.827332098550601,1.1288498138779897,2,104,0.8125,78,0.609375,6,0.046875,0.8125,0.609375,0.046875,0.51875
overlap__high_mask_area,Overlap / High Mask Area,gt_box_sam3,SAM3 GT bbox,SAM3,128,0.7390507996439084,0.833049652933615,0.8059959957298584,0.8820343225571439,1.147926044363328,0,110,0.859375,89,0.6953125,7,0.0546875,0.859375,0.6953125,0.0546875,0.571875
overlap__high_mask_area,Overlap / High Mask Area,sam3_hybrid_yolo,SAM3 hybrid YOLO bbox,SAM3,128,0.6920063301943484,0.7879351953874019,0.7758280449417041,0.8249269608469492,1.1040085240700122,2,103,0.8046875,79,0.6171875,6,0.046875,0.8046875,0.6171875,0.046875,0.5171875
overlap__high_mask_area,Overlap / High Mask Area,remotesam_text,RemoteSAM text only,RemoteSAM,128,0.8245767251864637,0.900240264922481,0.8554584862672332,0.9571444353004319,1.1363925919041993,0,126,0.984375,106,0.828125,22,0.171875,0.984375,0.828125,0.171875,0.7
overlap__high_mask_area,Overlap / High Mask Area,gt_box_ringmo_sam,RingMo-SAM GT bbox,RingMo-SAM,128,0.0011389190174828532,0.002246219960217717,0.26142516034592134,0.0011414113529260301,0.00425949790420635,79,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
overlap__high_mask_area,Overlap / High Mask Area,yolo_ringmo_sam,RingMo-SAM YOLO bbox,RingMo-SAM,128,0.0009829537054943252,0.0019380874146346628,0.23851230871550075,0.0009834194246328338,0.0021384052418407587,84,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
overlap__high_mask_area,Overlap / High Mask Area,gt_box_sam1,SAM1 GT bbox,SAM1,128,0.9201691491093293,0.9536071902567058,0.9557222098536611,0.9586738926987461,1.022487929279765,0,126,0.984375,117,0.9140625,105,0.8203125,0.984375,0.9140625,0.8203125,0.890625
overlap__high_mask_area,Overlap / High Mask Area,yolo_sam1,SAM1 YOLO bbox,SAM1,128,0.7787777274753205,0.8450883689625412,0.8674070225911072,0.8504076660162447,0.9700531033477822,3,110,0.859375,99,0.7734375,52,0.40625,0.859375,0.7734375,0.40625,0.67109375
overlap__high_mask_area,Overlap / High Mask Area,gt_box_sam2,SAM2 GT bbox,SAM2,128,0.8376822538155746,0.9060037665099874,0.900124135944143,0.9178118174913801,1.0264268422320337,0,125,0.9765625,111,0.8671875,33,0.2578125,0.9765625,0.8671875,0.2578125,0.73359375
overlap__high_mask_area,Overlap / High Mask Area,yolo_sam2,SAM2 YOLO bbox,SAM2,128,0.7045510053778495,0.7988719061358456,0.806656134349576,0.8227354808496783,1.0151832971149255,3,107,0.8359375,83,0.6484375,5,0.0390625,0.8359375,0.6484375,0.0390625,0.5296875
