table_key,table_title,pipeline,pipeline_label,family,images,avg_iou,avg_dice,avg_precision,avg_recall,avg_pred_gt_area,zero_iou_count,iou_ge_50_count,iou_ge_50_rate,iou_ge_75_count,iou_ge_75_rate,iou_ge_90_count,iou_ge_90_rate,map50_proxy,map75_proxy,map90_proxy,map50_95_proxy
overlap__low_mask_area,Overlap / Low Mask Area,sam3_text,SAM3 text only,SAM3,128,0.6339734149728655,0.7474790299780103,0.8414098269196114,0.7104066034788122,0.863854947491818,3,102,0.796875,45,0.3515625,0,0.0,0.796875,0.3515625,0.0,0.4015625
overlap__low_mask_area,Overlap / Low Mask Area,yolo_sam3,SAM3 YOLO bbox,SAM3,128,0.6704787029577001,0.7786640135592597,0.8040908989609519,0.7824699306731255,1.031597033951692,4,108,0.84375,59,0.4609375,1,0.0078125,0.84375,0.4609375,0.0078125,0.453125
overlap__low_mask_area,Overlap / Low Mask Area,gt_box_sam3,SAM3 GT bbox,SAM3,128,0.7498601659359172,0.849172190231169,0.8362977685029038,0.8797819273449667,1.098764271492789,0,121,0.9453125,83,0.6484375,5,0.0390625,0.9453125,0.6484375,0.0390625,0.56484375
overlap__low_mask_area,Overlap / Low Mask Area,sam3_hybrid_yolo,SAM3 hybrid YOLO bbox,SAM3,128,0.6690569968278998,0.7778325705326847,0.8045285923537693,0.7830866020507707,1.0154790433845002,4,106,0.828125,59,0.4609375,1,0.0078125,0.828125,0.4609375,0.0078125,0.4515625
overlap__low_mask_area,Overlap / Low Mask Area,remotesam_text,RemoteSAM text only,RemoteSAM,128,0.7701376119693091,0.8643862473339601,0.8381268459552211,0.9037664243897916,1.0878915643555576,0,124,0.96875,83,0.6484375,3,0.0234375,0.96875,0.6484375,0.0234375,0.59609375
overlap__low_mask_area,Overlap / Low Mask Area,gt_box_ringmo_sam,RingMo-SAM GT bbox,RingMo-SAM,128,0.013603814137191562,0.02367356825574696,0.36443177114438186,0.013624445125806205,0.013897619120268294,80,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
overlap__low_mask_area,Overlap / Low Mask Area,yolo_ringmo_sam,RingMo-SAM YOLO bbox,RingMo-SAM,128,0.009522209686328125,0.017248810427613503,0.32798620660790223,0.009619925846890432,0.01042457935323212,83,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
overlap__low_mask_area,Overlap / Low Mask Area,gt_box_sam1,SAM1 GT bbox,SAM1,128,0.9102727635903785,0.9510586698403484,0.9785271212980509,0.927074850150246,0.9496402339406118,0,127,0.9921875,123,0.9609375,85,0.6640625,0.9921875,0.9609375,0.6640625,0.86953125
overlap__low_mask_area,Overlap / Low Mask Area,yolo_sam1,SAM1 YOLO bbox,SAM1,128,0.7167635861726749,0.8010802243331168,0.8818521625381572,0.7724280289687393,0.9094130223549987,5,104,0.8125,78,0.609375,34,0.265625,0.8125,0.609375,0.265625,0.56171875
overlap__low_mask_area,Overlap / Low Mask Area,gt_box_sam2,SAM2 GT bbox,SAM2,128,0.8311520540379311,0.9062397835623154,0.8775173832905241,0.940691250677627,1.0789562477496268,0,127,0.9921875,119,0.9296875,13,0.1015625,0.9921875,0.9296875,0.1015625,0.715625
overlap__low_mask_area,Overlap / Low Mask Area,yolo_sam2,SAM2 YOLO bbox,SAM2,128,0.657127805910688,0.7640610253141835,0.7912150721023468,0.7797204625007985,1.02004311505901,5,101,0.7890625,57,0.4453125,6,0.046875,0.7890625,0.4453125,0.046875,0.43671875
