Table,Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,Pred/GT Area,mAP50 proxy,mAP75 proxy,mAP90 proxy,mAP50-95 proxy
Overall,SAM3 text only,512,0.6459,0.7519,0.8057,0.7354,1.2525,0.8008,0.4219,0.0449,0.4352
Overall,SAM3 YOLO bbox,512,0.6565,0.7528,0.7612,0.7744,1.3234,0.8027,0.5078,0.0508,0.4701
Overall,SAM3 GT bbox,512,0.7326,0.8275,0.8152,0.8674,1.2324,0.8848,0.6406,0.0859,0.5598
Overall,SAM3 hybrid YOLO bbox,512,0.6614,0.7582,0.7659,0.7800,1.3759,0.8027,0.5215,0.0547,0.4777
Overall,RemoteSAM text only,512,0.7963,0.8758,0.8406,0.9256,1.3421,0.9512,0.7617,0.1562,0.6607
Overall,RingMo-SAM GT bbox,512,0.0046,0.0082,0.2286,0.0046,0.0070,0.0000,0.0000,0.0000,0.0000
Overall,RingMo-SAM YOLO bbox,512,0.0035,0.0064,0.2071,0.0035,0.0060,0.0000,0.0000,0.0000,0.0000
Overall,SAM1 GT bbox,512,0.9105,0.9444,0.9575,0.9393,1.0649,0.9727,0.9258,0.7793,0.8809
Overall,SAM1 YOLO bbox,512,0.7342,0.8012,0.8340,0.8011,0.9718,0.8086,0.6719,0.3945,0.6195
Overall,SAM2 GT bbox,512,0.8203,0.8893,0.8794,0.9093,1.0708,0.9570,0.8457,0.2480,0.7135
Overall,SAM2 YOLO bbox,512,0.6684,0.7604,0.7700,0.7837,1.0358,0.7910,0.5371,0.0938,0.4916
No Overlap / Low Mask Area,SAM3 text only,128,0.6385,0.7369,0.7774,0.7296,2.1468,0.7969,0.4531,0.0859,0.4445
No Overlap / Low Mask Area,SAM3 YOLO bbox,128,0.6450,0.7391,0.7441,0.7676,2.1822,0.7969,0.4844,0.0703,0.4609
No Overlap / Low Mask Area,SAM3 GT bbox,128,0.7218,0.8110,0.8028,0.8560,1.4783,0.8672,0.6094,0.1172,0.5633
No Overlap / Low Mask Area,SAM3 hybrid YOLO bbox,128,0.6440,0.7378,0.7410,0.7687,2.4291,0.7891,0.4922,0.0781,0.4656
No Overlap / Low Mask Area,RemoteSAM text only,128,0.7824,0.8572,0.8311,0.9018,2.0113,0.9141,0.7891,0.1562,0.6602
No Overlap / Low Mask Area,RingMo-SAM GT bbox,128,0.0011,0.0022,0.1378,0.0012,0.0042,0.0000,0.0000,0.0000,0.0000
No Overlap / Low Mask Area,RingMo-SAM YOLO bbox,128,0.0011,0.0021,0.1203,0.0011,0.0065,0.0000,0.0000,0.0000,0.0000
No Overlap / Low Mask Area,SAM1 GT bbox,128,0.8964,0.9266,0.9409,0.9243,1.2530,0.9453,0.9219,0.8047,0.8766
No Overlap / Low Mask Area,SAM1 YOLO bbox,128,0.7413,0.7998,0.8056,0.8235,1.1132,0.8047,0.6719,0.4609,0.6430
No Overlap / Low Mask Area,SAM2 GT bbox,128,0.8055,0.8709,0.8607,0.8972,1.1519,0.9375,0.8125,0.2578,0.7023
No Overlap / Low Mask Area,SAM2 YOLO bbox,128,0.6735,0.7577,0.7411,0.8056,1.2071,0.7969,0.5312,0.1797,0.5164
No Overlap / High Mask Area,SAM3 text only,128,0.6358,0.7418,0.7969,0.7213,0.9710,0.7969,0.3906,0.0703,0.4227
No Overlap / High Mask Area,SAM3 YOLO bbox,128,0.6175,0.7056,0.7198,0.7203,0.9509,0.7578,0.4766,0.0781,0.4477
No Overlap / High Mask Area,SAM3 GT bbox,128,0.7199,0.8169,0.8158,0.8517,1.2046,0.8672,0.6094,0.1328,0.5391
No Overlap / High Mask Area,SAM3 hybrid YOLO bbox,128,0.6407,0.7291,0.7423,0.7432,0.9549,0.7891,0.5156,0.0859,0.4766
No Overlap / High Mask Area,RemoteSAM text only,128,0.8080,0.8815,0.8378,0.9398,1.1328,0.9375,0.7812,0.2734,0.6867
No Overlap / High Mask Area,RingMo-SAM GT bbox,128,0.0026,0.0047,0.1507,0.0026,0.0056,0.0000,0.0000,0.0000,0.0000
No Overlap / High Mask Area,RingMo-SAM YOLO bbox,128,0.0025,0.0045,0.1416,0.0025,0.0049,0.0000,0.0000,0.0000,0.0000
No Overlap / High Mask Area,SAM1 GT bbox,128,0.9152,0.9463,0.9547,0.9473,1.0344,0.9688,0.9062,0.8281,0.8867
No Overlap / High Mask Area,SAM1 YOLO bbox,128,0.7001,0.7586,0.7812,0.7580,0.8945,0.7578,0.6328,0.4453,0.6023
No Overlap / High Mask Area,SAM2 GT bbox,128,0.8070,0.8740,0.8793,0.8814,1.0260,0.9219,0.7734,0.3750,0.7023
