Dataset,Prompt,Model,Human,SAM1 pseudo,SAM2 pseudo,SAM3 pseudo
iSAID Plane,GT BBOX,SAM1,0.6527025169603249,1.0,0.8273189116273787,0.7949247800890236
iSAID Plane,GT BBOX,SAM2,0.6292217311328365,0.8273189116273787,1.0,0.7934393623100813
iSAID Plane,GT BBOX,SAM3,0.6553861538620105,0.7949247800890236,0.7934393623100813,1.0
iSAID Plane,YOLO BBOX,SAM1,0.5970314955585126,0.8732640601740904,0.7485937932281735,0.7466143997216507
iSAID Plane,YOLO BBOX,SAM2,0.5736589172420743,0.7504250069866714,0.8525695107019967,0.7438510664955147
iSAID Plane,YOLO BBOX,SAM3,0.5947494153334989,0.7205742746606664,0.7175508165383317,0.8583286618577062
iSAID Small Vehicle,GT BBOX,SAM1,0.6575328910593564,1.0,0.7485414109943758,0.4193595319271205
iSAID Small Vehicle,GT BBOX,SAM2,0.6452277917493195,0.7485414109943758,1.0,0.4197453269372218
iSAID Small Vehicle,GT BBOX,SAM3,0.3700265572426331,0.4193595319271205,0.4197453269372218,1.0
iSAID Small Vehicle,YOLO BBOX,SAM1,0.477965949172931,0.655206445150571,0.5506104851859526,0.5387192790831098
iSAID Small Vehicle,YOLO BBOX,SAM2,0.4608450111567816,0.5501616971975826,0.623650244565607,0.5390543817437997
iSAID Small Vehicle,YOLO BBOX,SAM3,0.2994148328769775,0.3405610805950134,0.3392587323724889,0.8381761284340579
