Dataset,Prompt,Model / reference,N,Human IoU,Own-pseudo IoU,Delta IoU,95% CI,Identity control
iSAID Plane,GT BBOX,SAM1,5447,0.6527025169603249,1.0,0.3472974830396752,"[0.331, 0.369]",Yes (tautological)
iSAID Plane,YOLO BBOX,SAM1,5447,0.5970314955585126,0.8732640601740904,0.2762325646155778,"[0.257, 0.297]",No
iSAID Plane,GT BBOX,SAM2,5447,0.6292217311328365,1.0,0.3707782688671635,"[0.352, 0.396]",Yes (tautological)
iSAID Plane,YOLO BBOX,SAM2,5447,0.5736589172420743,0.8525695107019967,0.2789105934599224,"[0.258, 0.302]",No
iSAID Plane,GT BBOX,SAM3,5447,0.6553861538620105,1.0,0.3446138461379895,"[0.324, 0.372]",Yes (tautological)
iSAID Plane,YOLO BBOX,SAM3,5447,0.5947494153334989,0.8583286618577062,0.2635792465242073,"[0.242, 0.288]",No
iSAID Small Vehicle,GT BBOX,SAM1,12051,0.6575328910593564,1.0,0.3424671089406435,"[0.292, 0.382]",Yes (tautological)
iSAID Small Vehicle,YOLO BBOX,SAM1,12051,0.477965949172931,0.655206445150571,0.17724049597764,"[0.160, 0.195]",No
iSAID Small Vehicle,GT BBOX,SAM2,12051,0.6452277917493195,1.0,0.3547722082506804,"[0.295, 0.401]",Yes (tautological)
iSAID Small Vehicle,YOLO BBOX,SAM2,12051,0.4608450111567816,0.623650244565607,0.1628052334088253,"[0.143, 0.180]",No
iSAID Small Vehicle,GT BBOX,SAM3,12051,0.3700265572426331,1.0,0.629973442757367,"[0.483, 0.740]",Yes (tautological)
iSAID Small Vehicle,YOLO BBOX,SAM3,12051,0.2994148328769775,0.8381761284340579,0.5387612955570804,"[0.381, 0.659]",No
