Dataset,Prompt,Teacher,Teacher IoU,Other-model mean,Teacher advantage,Identity control
iSAID Plane,GT BBOX,SAM1,1.0,0.8111218458582011,0.1888781541417988,True
iSAID Plane,GT BBOX,SAM2,1.0,0.81037913696873,0.18962086303127,True
iSAID Plane,GT BBOX,SAM3,1.0,0.7941820711995524,0.2058179288004475,True
iSAID Plane,YOLO BBOX,SAM1,0.8732640601740904,0.7354996408236689,0.1377644193504215,False
iSAID Plane,YOLO BBOX,SAM2,0.8525695107019967,0.7330723048832526,0.1194972058187441,False
iSAID Plane,YOLO BBOX,SAM3,0.8583286618577062,0.7452327331085826,0.1130959287491235,False
iSAID Small Vehicle,GT BBOX,SAM1,1.0,0.5839504714607482,0.4160495285392518,True
iSAID Small Vehicle,GT BBOX,SAM2,1.0,0.5841433689657988,0.4158566310342012,True
iSAID Small Vehicle,GT BBOX,SAM3,1.0,0.4195524294321712,0.5804475705678288,True
iSAID Small Vehicle,YOLO BBOX,SAM1,0.655206445150571,0.445361388896298,0.209845056254273,False
iSAID Small Vehicle,YOLO BBOX,SAM2,0.623650244565607,0.4449346087792207,0.1787156357863862,False
iSAID Small Vehicle,YOLO BBOX,SAM3,0.8381761284340579,0.5388868304134548,0.2992892980206031,False
