Dataset,Stratum,Model / reference,N,Human IoU,Own-pseudo IoU,Delta IoU
iSAID Plane,no_overlap__high_mask_area,SAM1,622,0.6110834237149266,0.8809887849529646,0.269905361238038
iSAID Plane,no_overlap__low_mask_area,SAM1,439,0.5427075284762481,0.8515271340073991,0.30881960553115095
iSAID Plane,overall,SAM1,5447,0.5970314955585126,0.8732640601740904,0.27623256461557777
iSAID Plane,overlap__high_mask_area,SAM1,2678,0.615595872058159,0.8782594772184364,0.2626636051602774
iSAID Plane,overlap__low_mask_area,SAM1,1708,0.5767695060794562,0.8682055150511161,0.2914360089716599
iSAID Plane,no_overlap__high_mask_area,SAM2,622,0.6246828506129742,0.8724382656275219,0.24775541501454768
iSAID Plane,no_overlap__low_mask_area,SAM2,439,0.5188154217817164,0.8284741531885453,0.309658731406829
iSAID Plane,overall,SAM2,5447,0.5736589172420743,0.8525695107019967,0.2789105934599224
iSAID Plane,overlap__high_mask_area,SAM2,2678,0.5971201779655729,0.8600077869452595,0.26288760897968655
iSAID Plane,overlap__low_mask_area,SAM2,1708,0.5323885142753694,0.8398644712437243,0.30747595696835495
iSAID Plane,no_overlap__high_mask_area,SAM3,622,0.6545670101871337,0.8506313522010512,0.19606434201391754
iSAID Plane,no_overlap__low_mask_area,SAM3,439,0.5668640488188319,0.8392023733654529,0.272338324546621
iSAID Plane,overall,SAM3,5447,0.5947494153334989,0.8583286618577062,0.2635792465242073
iSAID Plane,overlap__high_mask_area,SAM3,2678,0.6142273416351832,0.8683520736672339,0.25412473203205066
iSAID Plane,overlap__low_mask_area,SAM3,1708,0.5495932357463017,0.8503318646847692,0.3007386289384675
iSAID Small Vehicle,no_overlap__high_mask_area,SAM1,1512,0.6268548207745769,0.7926256631803038,0.16577084240572693
iSAID Small Vehicle,no_overlap__low_mask_area,SAM1,522,0.4661912928127241,0.6400531966881843,0.1738619038754602
iSAID Small Vehicle,overall,SAM1,12051,0.477965949172931,0.655206445150571,0.17724049597764002
iSAID Small Vehicle,overlap__high_mask_area,SAM1,8435,0.4857280040888792,0.6675208058281484,0.18179280173926926
iSAID Small Vehicle,overlap__low_mask_area,SAM1,1582,0.2981640930049898,0.4632092932675393,0.16504520026254949
iSAID Small Vehicle,no_overlap__high_mask_area,SAM2,1512,0.6304733955279486,0.7633207444183492,0.13284734889040062
iSAID Small Vehicle,no_overlap__low_mask_area,SAM2,522,0.4513064856464454,0.6137186588199174,0.162412173173472
iSAID Small Vehicle,overall,SAM2,12051,0.4608450111567816,0.623650244565607,0.1628052334088254
iSAID Small Vehicle,overlap__high_mask_area,SAM2,8435,0.4637341300863079,0.6330021616260435,0.16926803153973558
iSAID Small Vehicle,overlap__low_mask_area,SAM2,1582,0.2864652861104078,0.44357380434887,0.15710851823846222
iSAID Small Vehicle,no_overlap__high_mask_area,SAM3,1512,0.6077662947096999,0.7934266207333792,0.18566032602367932
iSAID Small Vehicle,no_overlap__low_mask_area,SAM3,522,0.3845270326417008,0.6236489632478781,0.2391219306061773
iSAID Small Vehicle,overall,SAM3,12051,0.2994148328769775,0.8381761284340579,0.5387612955570804
iSAID Small Vehicle,overlap__high_mask_area,SAM3,8435,0.2538286029779169,0.8847497795505562,0.6309211765726394
iSAID Small Vehicle,overlap__low_mask_area,SAM3,1582,0.2196827662716138,0.7034072843777676,0.4837245181061538
