dataset_id,reference_a,reference_b,mean_instance_iou,instance_count
isaid_plane,human,pseudo_sam1,0.6527025169603249,5447
isaid_plane,human,pseudo_sam2,0.6292217311328365,5447
isaid_plane,human,pseudo_sam3,0.6553861538620105,5447
isaid_plane,pseudo_sam1,pseudo_sam2,0.8273189116273787,5447
isaid_plane,pseudo_sam1,pseudo_sam3,0.7949247800890236,5447
isaid_plane,pseudo_sam2,pseudo_sam3,0.7934393623100813,5447
isaid_small_vehicle,human,pseudo_sam1,0.6575328910593564,12051
isaid_small_vehicle,human,pseudo_sam2,0.6452277917493195,12051
isaid_small_vehicle,human,pseudo_sam3,0.3700265572426331,12051
isaid_small_vehicle,pseudo_sam1,pseudo_sam2,0.7485414109943758,12051
isaid_small_vehicle,pseudo_sam1,pseudo_sam3,0.41935953192712055,12051
isaid_small_vehicle,pseudo_sam2,pseudo_sam3,0.4197453269372218,12051
