source_scene_id,split,master_tile_count,no_overlap__low_mask_area_count,no_overlap__high_mask_area_count,overlap__low_mask_area_count,overlap__high_mask_area_count
P0000,train,16,16,0,0,0
P0010,validation,1,0,0,0,0
P0012,train,1,0,0,0,0
P0020,train,1,0,0,0,0
P0021,train,1,0,0,0,0
P0022,validation,17,5,9,1,0
P0023,validation,15,7,8,0,0
P0030,train,1,0,0,0,0
P0032,train,5,2,3,0,0
P0036,validation,16,13,3,0,0
P0038,train,10,5,5,0,0
P0041,validation,10,5,3,1,0
P0042,train,6,1,0,1,4
P0049,train,1,0,0,0,0
P0054,validation,1,0,0,0,0
P0061,validation,1,0,0,0,0
P0070,train,1,0,0,0,0
P0082,train,1,0,0,0,0
P0083,train,1,0,0,0,0
P0085,train,1,0,0,0,0
P0099,train,1,0,0,0,0
P0113,train,16,13,0,2,1
P0119,validation,4,4,0,0,0
P0141,train,2,0,0,0,0
P0158,train,1,0,0,0,0
P0160,train,11,9,0,0,0
P0161,train,6,6,0,0,0
P0162,train,4,4,0,0,0
P0167,train,12,12,0,0,0
P0168,test,6,0,0,5,1
P0169,test,14,11,0,3,0
P0170,test,4,0,0,2,2
P0171,train,6,4,0,0,2
P0172,validation,5,2,1,1,1
P0174,train,4,2,0,0,2
P0178,train,4,2,0,0,2
P0179,train,13,6,3,2,2
P0183,train,14,6,4,1,3
P0187,train,6,0,6,0,0
P0188,train,4,4,0,0,0
P0190,train,6,4,0,0,2
P0202,train,1,0,0,0,0
P0209,validation,8,5,1,0,2
P0210,train,6,4,2,0,0
P0213,train,4,4,0,0,0
P0215,train,8,2,5,0,1
P0217,train,4,0,0,0,4
P0218,validation,8,1,7,0,0
P0219,train,6,0,2,0,4
P0220,test,4,2,0,2,0
P0221,train,6,2,3,1,0
P0223,train,4,2,1,1,0
P0229,train,1,0,0,0,0
P0250,train,4,2,0,0,2
P0251,validation,4,0,0,1,3
P0254,test,5,0,0,2,3
P0255,train,4,0,0,1,3
P0257,train,4,0,0,0,4
P0259,test,4,0,0,4,0
P0261,train,4,4,0,0,0
P0289,validation,4,0,0,0,4
P0294,train,4,0,4,0,0
P0308,validation,1,0,0,0,0
P0321,train,1,0,0,0,0
P0337,validation,1,0,0,0,0
P0340,train,1,0,0,0,0
P0346,train,2,0,0,0,0
P0349,train,1,0,0,0,0
P0521,validation,1,0,0,0,0
P0619,train,1,0,0,0,0
P0629,validation,1,0,0,0,0
P0687,train,1,0,0,0,0
P0695,validation,1,0,0,0,0
P0697,train,4,2,2,0,0
P0727,train,1,0,0,0,0
P0728,train,1,0,0,0,0
P0759,train,1,0,0,0,0
P0783,train,6,0,0,0,6
P0785,train,12,3,9,0,0
P0786,train,7,2,5,0,0
P0792,train,3,0,0,0,0
P0806,train,1,0,0,0,0
P0823,train,1,0,0,0,0
P0840,train,7,2,1,0,3
P0841,train,9,6,2,0,1
P0857,validation,1,0,0,0,0
P0860,validation,1,0,0,0,0
P0861,train,1,0,0,0,0
P0867,train,3,0,0,0,0
P0868,train,1,0,0,0,0
P0875,train,1,0,0,0,0
P0878,validation,2,0,0,0,0
P0898,train,1,0,0,0,0
P0899,train,1,0,0,0,0
P0900,train,1,0,0,0,0
P0906,train,1,0,0,0,0
P0913,train,1,0,0,0,0
P0914,train,2,0,0,0,0
P0921,train,1,0,0,0,0
P0934,validation,1,0,0,0,0
P0947,train,1,0,0,0,0
P0960,train,1,0,0,0,0
P0966,train,1,0,0,0,0
P0967,validation,1,0,0,0,0
P0975,train,1,0,0,0,0
P0991,train,1,0,0,0,0
P0993,validation,1,0,0,0,0
P1019,train,3,0,0,0,0
P1049,train,7,2,5,0,0
P1053,train,1,0,0,0,0
P1055,train,2,0,0,0,0
P1057,validation,1,0,0,0,0
P1059,train,1,0,0,0,0
P1062,train,1,0,0,0,0
P1063,train,1,0,0,0,0
P1069,train,2,0,0,0,0
P1070,train,3,0,0,0,0
P1076,train,1,0,0,0,0
P1078,train,6,4,2,0,0
P1088,validation,4,2,2,0,0
P1094,train,1,0,0,0,0
P1103,train,4,0,0,0,4
P1109,train,6,5,0,0,1
P1113,train,3,0,3,0,0
P1114,validation,9,3,5,0,0
P1116,train,11,3,8,0,0
P1117,train,4,0,4,0,0
P1119,train,3,0,3,0,0
P1121,train,6,0,2,0,4
P1122,train,18,7,11,0,0
P1128,train,4,0,4,0,0
P1130,train,5,0,4,0,1
P1131,train,19,7,6,0,6
P1132,train,13,4,2,1,5
P1133,train,4,0,0,0,4
P1134,train,5,0,5,0,0
P1138,train,6,6,0,0,0
P1139,train,24,11,6,0,2
P1140,test,23,7,2,1,13
P1141,train,15,7,3,0,5
P1142,train,12,3,8,0,0
P1143,validation,13,2,10,1,0
P1144,train,6,0,6,0,0
P1147,train,13,5,5,0,2
P1148,test,18,3,11,0,2
