image_id,file_name,source_file_name,source_scene_id,tile_x,tile_y,tile_size,num_objects,mask_area_pixels,mask_area_ratio,max_pair_bbox_iou,num_bbox_overlap_pairs,has_bbox_overlap,overlap_group,area_group,stratum,split,area_threshold,stratify_by,no_overlap_iou_max,overlap_iou_min,selected_eval,source_image_id
1,P0000_0002.png,P0000.png,P0000,2048,0,1024,1,4383,0.004179954528808594,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,3
2,P0000_0003.png,P0000.png,P0000,2851,0,1024,1,4383,0.004179954528808594,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,4
3,P0000_0005.png,P0000.png,P0000,1024,1024,1024,1,3214,0.0030651092529296875,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,6
4,P0000_0006.png,P0000.png,P0000,2048,1024,1024,3,9148,0.008724212646484375,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,7
5,P0000_0007.png,P0000.png,P0000,2851,1024,1024,3,10329,0.009850502014160156,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,8
6,P0000_0010.png,P0000.png,P0000,2048,2048,1024,2,8265,0.007882118225097656,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,11
7,P0000_0011.png,P0000.png,P0000,2851,2048,1024,3,8932,0.008518218994140625,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,12
8,P0000_0012.png,P0000.png,P0000,0,3072,1024,2,6265,0.005974769592285156,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,13
9,P0000_0013.png,P0000.png,P0000,1024,3072,1024,2,4864,0.004638671875,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,14
10,P0000_0014.png,P0000.png,P0000,2048,3072,1024,2,8990,0.008573532104492188,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,15
11,P0000_0015.png,P0000.png,P0000,2851,3072,1024,3,5963,0.005686759948730469,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,16
12,P0000_0016.png,P0000.png,P0000,0,4096,1024,2,7975,0.007605552673339844,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,17
13,P0000_0017.png,P0000.png,P0000,1024,4096,1024,2,3972,0.003787994384765625,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,18
14,P0000_0018.png,P0000.png,P0000,2048,4096,1024,1,3977,0.0037927627563476562,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,19
15,P0000_0019.png,P0000.png,P0000,2851,4096,1024,1,3977,0.0037927627563476562,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,20
16,P0000_0021.png,P0000.png,P0000,1024,4478,1024,1,3675,0.0035047531127929688,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,22
17,P0012_0000.png,P0012.png,P0012,0,0,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0167140960693359,mask_area,0.0,0.001,False,58
18,P0020_0010.png,P0020.png,P0020,0,2048,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0167140960693359,mask_area,0.0,0.001,False,78
19,P0021_0009.png,P0021.png,P0021,0,2210,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0167140960693359,mask_area,0.0,0.001,False,102
20,P0030_0003.png,P0030.png,P0030,0,1024,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0167140960693359,mask_area,0.0,0.001,False,145
21,P0032_0001.png,P0032.png,P0032,1024,0,1024,4,18751,0.017882347106933594,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.0167140960693359,mask_area,0.0,0.001,False,46
