dataset_id,bbox_source,detector_seed,stratum,model,baseline_reference,own_reference,cross_references,instance_count,source_scene_count,self_vs_cross_iou,self_vs_cross_ci_lower,self_vs_cross_ci_upper,relative_advantage_did,relative_advantage_did_ci_lower,relative_advantage_did_ci_upper,confidence_level,bootstrap_samples,identity_control
isaid_plane,gt_bbox,,overall,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,5447,44,0.17632733475094595,0.16102265355594467,0.19680280771170947,0.18817379849340404,0.17053313274963283,0.21197273090661956,0.95,10000,True
isaid_plane,gt_bbox,,overall,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,5447,44,0.19450154023995958,0.1798031589097098,0.21334720797037915,0.2415688666852695,0.22128696700441286,0.2673666189067971,0.95,10000,True
isaid_plane,gt_bbox,,overall,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,5447,44,0.19814765269894066,0.17985345390755747,0.22151618836987993,0.1392338625111727,0.12460102000815103,0.15803067761470632,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__low_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,439,27,0.21521553593521303,0.19615493115184426,0.23115301102318975,0.23292993707694606,0.2024512064127851,0.2619374634753244,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__low_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,439,27,0.22943163570546973,0.20940770357787175,0.24503138258702986,0.2886959027033808,0.2589730023034236,0.3131878912124262,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__low_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,439,27,0.23989473807699965,0.21830214518109656,0.2574989195555402,0.16291606993735555,0.14614218546803287,0.1786076731274346,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__high_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,622,17,0.2008516382172358,0.16892683559902263,0.22664579699861723,0.254685390328022,0.20423852466902895,0.297589303188524,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__high_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,622,17,0.19465129269486295,0.171994187825538,0.21079290895924108,0.2165279613332718,0.18944042416943388,0.24598707679735113,0.95,10000,True
isaid_plane,gt_bbox,,no_overlap__high_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,622,17,0.21580443374900113,0.1826763085517861,0.2382537728813461,0.14009401299980614,0.11722300678643477,0.1572540535522856,0.95,10000,True
isaid_plane,gt_bbox,,overlap__low_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,1708,38,0.19612041108812167,0.17891058988684466,0.21376381004605793,0.1927554525479499,0.17741555866628372,0.20896542658942896,0.95,10000,True
isaid_plane,gt_bbox,,overlap__low_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,1708,38,0.2206785379703983,0.20362598436623186,0.23822217728024064,0.2872406879190353,0.2691555601457034,0.3056389341117558,0.95,10000,True
isaid_plane,gt_bbox,,overlap__low_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,1708,38,0.2248946117953936,0.20999221816237168,0.23909588237882842,0.16169742038692841,0.1387396415864067,0.1837859805408342,0.95,10000,True
