epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.939,1.17951,2.56468,0.00468,0.51984,0.53694,0.47604,0.32867,nan,nan,nan,0.000661578,0.000661578,0.000661578
2,228.064,1.34961,1.26421,0.00598,0.62037,0.53694,0.5267,0.34997,nan,nan,nan,0.00131509,0.00131509,0.00131509
3,337.686,1.38164,1.12438,0.0059,0.78144,0.66355,0.71592,0.485,1.43713,1.37644,0.00898,0.00195541,0.00195541,0.00195541
4,447.099,1.32095,1.09034,0.00565,0.78266,0.69009,0.75167,0.50739,1.40388,1.26517,0.00817,0.0019406,0.0019406,0.0019406
5,556.912,1.27205,0.98571,0.00535,0.83374,0.72737,0.7864,0.54274,1.39493,1.16391,0.00819,0.0019208,0.0019208,0.0019208
6,666.418,1.23469,0.94091,0.0052,0.87161,0.69279,0.75896,0.54979,1.32407,1.16899,0.00775,0.001901,0.001901,0.001901
7,776.209,1.21975,0.91285,0.00497,0.85933,0.7036,0.79225,0.57536,1.31866,1.13805,0.00764,0.0018812,0.0018812,0.0018812
8,886.073,1.20294,0.87338,0.00512,0.86635,0.74163,0.81507,0.6005,1.18261,0.9649,0.00694,0.0018614,0.0018614,0.0018614
9,995.541,1.19925,0.86911,0.00498,0.84263,0.72973,0.8133,0.60421,1.24901,0.9927,0.00744,0.0018416,0.0018416,0.0018416
10,1104.94,1.10837,0.86147,0.00462,0.8899,0.74595,0.8228,0.62469,1.17658,0.94013,0.00706,0.0018218,0.0018218,0.0018218
11,1215.69,1.09051,0.7792,0.00435,0.893,0.73684,0.82734,0.62472,1.13392,0.95305,0.00658,0.001802,0.001802,0.001802
12,1326.85,1.0761,0.75557,0.00437,0.89567,0.72704,0.81207,0.60218,1.25506,0.98094,0.00741,0.0017822,0.0017822,0.0017822
13,1435.52,1.06285,0.74908,0.00428,0.88798,0.78919,0.86105,0.64469,1.1773,0.85738,0.00673,0.0017624,0.0017624,0.0017624
14,1545.17,1.04955,0.7684,0.00453,0.91687,0.78493,0.8631,0.65364,1.16289,0.77586,0.00691,0.0017426,0.0017426,0.0017426
15,1654.74,1.06415,0.73213,0.00448,0.91772,0.75361,0.83688,0.63093,1.14614,0.93137,0.00657,0.0017228,0.0017228,0.0017228
16,1763.37,1.04037,0.72516,0.00424,0.91693,0.78378,0.86581,0.65964,1.1098,0.77263,0.00633,0.001703,0.001703,0.001703
17,1872.84,1.03855,0.72563,0.00429,0.93024,0.77387,0.86348,0.65838,1.11393,0.81293,0.00654,0.0016832,0.0016832,0.0016832
