source_scene_id,split,master_tile_count,no_overlap__low_mask_area_count,no_overlap__high_mask_area_count,overlap__low_mask_area_count,overlap__high_mask_area_count
P0000,train,17,6,0,3,5
P0001,train,7,5,0,0,0
P0002,test,8,1,7,0,0
P0007,train,4,0,2,0,2
P0008,train,4,0,4,0,0
P0010,train,4,0,2,0,2
P0011,train,4,0,0,0,4
P0012,train,6,2,1,0,3
P0013,train,4,0,0,0,4
P0018,validation,4,0,2,0,1
P0019,validation,11,8,3,0,0
P0020,train,24,2,2,1,18
P0021,train,6,2,2,0,1
P0022,train,21,8,2,0,9
P0023,train,15,0,5,0,10
P0025,train,23,2,1,1,18
P0027,train,2,0,0,0,2
P0029,train,8,1,3,0,4
P0030,validation,6,1,3,0,2
P0032,train,6,4,0,0,2
P0036,validation,23,6,2,2,13
P0038,train,11,5,0,0,3
P0039,train,14,2,1,5,5
P0041,train,7,0,0,0,2
P0042,train,3,1,0,0,2
P0044,train,4,0,0,0,4
P0047,validation,6,4,0,0,2
P0049,train,4,1,0,0,2
P0050,train,11,1,0,2,8
P0052,train,4,0,0,0,4
P0053,train,4,0,1,0,3
P0054,validation,9,0,1,0,8
P0058,train,4,0,0,0,4
P0060,train,12,0,1,0,11
P0061,validation,4,0,0,0,4
P0063,train,9,0,1,0,8
P0064,train,9,0,4,0,5
P0065,train,12,0,1,0,11
P0066,train,8,0,4,0,0
P0067,train,4,0,0,0,4
P0070,train,4,0,4,0,0
P0082,train,14,5,2,0,1
P0083,validation,21,10,2,0,4
P0085,validation,8,5,2,0,0
P0086,train,4,0,0,0,4
P0087,train,30,0,2,0,28
P0094,validation,4,4,0,0,0
P0099,train,4,0,0,0,4
P0109,train,4,0,0,0,4
P0110,validation,5,5,0,0,0
P0111,train,3,1,0,1,1
P0113,train,14,2,0,4,2
P0117,train,4,0,0,1,3
P0119,train,9,1,2,2,2
P0122,validation,4,1,1,0,2
P0124,train,6,1,0,3,2
P0128,train,3,0,0,0,3
P0129,train,4,1,0,2,1
P0131,train,4,0,0,0,4
P0133,train,4,0,0,0,4
P0136,train,9,2,5,1,1
P0140,train,4,0,0,0,4
P0141,train,10,0,1,0,9
P0146,train,5,0,0,1,4
P0147,train,4,0,0,0,4
P0158,train,12,8,0,1,3
P0160,train,12,1,0,1,10
P0161,train,7,1,0,0,6
P0162,validation,2,1,0,0,0
P0164,validation,4,0,0,0,4
P0167,validation,15,3,0,5,7
P0168,train,6,1,0,3,2
P0169,train,21,7,0,4,8
P0170,train,3,0,0,1,2
P0171,train,6,0,4,0,2
P0172,train,6,4,0,0,2
P0174,train,4,0,0,0,4
P0178,validation,2,1,1,0,0
P0179,test,14,1,6,1,6
P0183,validation,13,2,5,0,6
P0187,train,6,0,0,0,6
P0188,train,6,2,0,2,2
P0190,train,6,2,0,0,4
P0199,train,4,0,4,0,0
P0201,train,4,0,4,0,0
P0202,validation,4,0,0,0,4
P0206,train,4,4,0,0,0
P0209,train,6,1,2,0,3
P0210,train,4,0,0,0,4
P0213,validation,4,1,0,0,3
P0215,train,8,6,2,0,0
P0217,train,4,2,0,2,0
P0218,train,9,4,0,0,3
P0219,train,1,0,1,0,0
P0220,train,4,2,0,0,2
P0221,train,6,1,2,0,3
P0222,validation,4,0,0,0,4
P0223,train,4,1,0,0,3
P0224,train,1,0,0,0,1
P0227,train,6,6,0,0,0
P0229,train,4,1,1,0,2
P0232,train,4,1,0,0,3
P0233,train,4,0,0,0,4
P0236,train,4,2,0,0,2
P0238,train,4,2,0,2,0
P0241,validation,4,0,4,0,0
P0250,train,2,2,0,0,0
P0251,validation,3,0,2,0,1
P0252,train,3,0,0,0,2
P0254,train,6,0,0,1,5
P0255,train,4,0,0,0,4
P0256,train,2,0,0,0,2
P0257,validation,4,0,0,0,4
P0259,train,6,2,0,0,4
P0260,validation,4,0,0,0,4
P0261,train,4,0,0,0,4
P0262,train,8,1,0,0,7
P0270,train,4,0,2,0,2
P0275,validation,4,0,0,0,4
P0276,train,4,0,0,0,4
P0288,train,4,0,0,0,4
P0289,train,4,4,0,0,0
P0293,train,4,2,2,0,0
P0294,train,2,2,0,0,0
P0296,train,2,0,0,2,0
P0308,validation,1,0,0,0,0
P0310,train,3,2,1,0,0
P0313,validation,3,1,0,1,1
P0314,train,3,0,0,2,0
P0315,train,1,0,0,0,0
P0321,validation,3,0,0,0,0
P0322,train,2,1,0,0,0
P0324,train,3,1,0,0,2
P0327,train,4,0,1,0,3
P0331,train,4,1,2,0,1
P0332,train,4,1,0,0,1
P0334,train,5,2,1,1,0
P0335,train,4,4,0,0,0
P0336,train,2,2,0,0,0
P0337,train,4,1,1,0,1
P0338,train,2,1,0,0,0
P0339,validation,4,3,1,0,0
P0340,train,6,1,0,0,5
P0343,train,3,0,0,0,0
P0344,train,3,2,0,1,0
P0345,train,5,1,1,0,1
P0346,train,7,1,5,0,1
P0347,train,2,0,0,0,2
P0349,train,9,3,1,0,2
P0352,train,4,0,0,1,3
P0353,train,4,0,0,0,4
P0357,train,4,3,1,0,0
P0367,train,2,0,1,0,0
P0374,train,4,0,1,0,3
P0378,train,4,0,0,0,4
P0382,validation,4,0,4,0,0
P0396,train,4,4,0,0,0
P0404,train,4,2,0,2,0
P0420,train,4,4,0,0,0
P0421,train,4,0,0,4,0
P0424,train,4,4,0,0,0
P0430,validation,4,2,0,1,1
P0431,train,4,0,0,4,0
P0438,train,4,2,0,2,0
P0440,validation,3,3,0,0,0
P0441,validation,4,2,0,2,0
P0443,train,4,0,0,0,4
P0458,train,4,2,0,1,1
P0464,train,4,0,0,0,4
P0465,train,4,0,0,0,4
P0476,train,4,0,0,0,4
P0491,train,4,4,0,0,0
P0494,validation,6,0,1,1,4
P0499,train,4,0,0,1,3
P0503,train,4,0,4,0,0
P0504,train,2,0,1,0,1
P0516,train,4,0,0,0,4
P0517,train,4,0,4,0,0
P0520,train,1,0,0,0,0
P0521,train,1,0,0,0,0
P0524,train,4,2,0,2,0
P0526,train,3,3,0,0,0
P0531,train,6,6,0,0,0
P0533,train,4,4,0,0,0
P0537,train,1,0,0,0,0
P0541,train,2,2,0,0,0
P0544,validation,3,3,0,0,0
P0551,train,4,3,1,0,0
P0557,train,4,4,0,0,0
P0565,train,4,4,0,0,0
P0571,validation,1,0,0,0,0
P0573,train,1,0,0,0,0
P0578,train,5,0,4,0,0
P0581,train,2,1,0,0,0
P0582,train,1,0,0,0,0
P0590,validation,4,0,0,0,4
