dataset_id,model,bbox_source,detector_seed,baseline_reference,comparison_reference,instance_count,baseline_mean_iou,comparison_mean_iou,delta_iou,delta_ci_lower,delta_ci_upper,confidence_level
isaid_small_vehicle,sam1,gt_bbox,,human,pseudo_sam1,12051,0.6575328910593564,0.9984233673554062,0.34089047629604974,0.29187731834250535,0.3793639104923341,0.95
isaid_small_vehicle,sam1,gt_bbox,,human,pseudo_sam2,12051,0.6575328910593564,0.7485399968750714,0.09100710581571501,0.075443081981163,0.10903912244291267,0.95
isaid_small_vehicle,sam1,gt_bbox,,human,pseudo_sam3,12051,0.6575328910593564,0.7656401185479796,0.10810722748862321,0.094145129118502,0.12307536213634178,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,human,pseudo_sam1,12051,0.477965949172931,0.6537127931714821,0.17574684399855112,0.15895508279767587,0.1940354759480741,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,human,pseudo_sam2,12051,0.477965949172931,0.5506092534645975,0.07264330429166645,0.05834623612736586,0.08675109987454221,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,human,pseudo_sam3,12051,0.477965949172931,0.560461046863692,0.08249509769076097,0.07195432578608424,0.09317360335720282,0.95
isaid_small_vehicle,sam2,gt_bbox,,human,pseudo_sam1,12051,0.645225889234348,0.7485399968750714,0.10331410764072335,0.08428084413074019,0.12108074747877186,0.95
isaid_small_vehicle,sam2,gt_bbox,,human,pseudo_sam2,12051,0.645225889234348,1.0,0.3547741107656519,0.29510264983431095,0.40081171321508763,0.95
isaid_small_vehicle,sam2,gt_bbox,,human,pseudo_sam3,12051,0.645225889234348,0.7707251750189499,0.1254992857846018,0.10512270028800358,0.14220939357821796,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,human,pseudo_sam1,12051,0.46084501115678167,0.5489169872150085,0.08807197605822692,0.07634910260209639,0.09921030330098556,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,human,pseudo_sam2,12051,0.46084501115678167,0.6236493885723984,0.16280437741561665,0.1427746197711669,0.18007428987459828,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,human,pseudo_sam3,12051,0.46084501115678167,0.5508126918153804,0.08996768065859881,0.07905021743111536,0.1012374258288659,0.95
isaid_small_vehicle,sam3,gt_bbox,,human,pseudo_sam1,12051,0.6984536768089755,0.7656401185479796,0.06718644173900401,0.05177214743463993,0.0851742949641348,0.95
isaid_small_vehicle,sam3,gt_bbox,,human,pseudo_sam2,12051,0.6984536768089755,0.7707251750189499,0.07227149820997422,0.05688582707960711,0.09012392145941994,0.95
isaid_small_vehicle,sam3,gt_bbox,,human,pseudo_sam3,12051,0.6984536768089755,1.0,0.30154632319102437,0.25592818069113155,0.3381484651834435,0.95
isaid_small_vehicle,sam3,yolo_bbox,42,human,pseudo_sam1,12051,0.49117899206420795,0.5622907620033631,0.07111176993915519,0.05999107790495768,0.08274913149737387,0.95
isaid_small_vehicle,sam3,yolo_bbox,42,human,pseudo_sam2,12051,0.49117899206420795,0.5548879341135543,0.06370894204934642,0.04878744256214965,0.07746860351498434,0.95
isaid_small_vehicle,sam3,yolo_bbox,42,human,pseudo_sam3,12051,0.49117899206420795,0.6332161372943202,0.14203714523011227,0.12760006668091078,0.157699398499346,0.95
