epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1429.26,2.29384,1.77786,0.00157,0.65221,0.42732,0.45933,0.23913,1.80302,6.52578,0.0018,0.00066532,0.00066532,0.00066532
2,994.199,2.295,1.42424,0.00155,0.66719,0.44971,0.4864,0.26048,1.65742,7.51862,0.00172,0.0013188,0.0013188,0.0013188
3,991.474,2.24667,1.35306,0.0015,0.66866,0.48722,0.50553,0.26035,1.67786,7.8703,0.00175,0.00195908,0.00195908,0.00195908
4,1637.85,2.27771,1.38141,0.00149,0.65084,0.46389,0.47606,0.23778,1.78243,11.0386,0.00191,0.0019406,0.0019406,0.0019406
5,2262.93,2.24353,1.30843,0.00145,0.66726,0.49016,0.49782,0.26337,1.65421,2.66725,0.00173,0.0019208,0.0019208,0.0019208
6,2719.74,2.20121,1.27158,0.00144,0.69542,0.52158,0.53248,0.27529,1.68032,9.20311,0.00173,0.001901,0.001901,0.001901
7,3349.22,2.13365,1.20189,0.00139,0.68565,0.51778,0.52825,0.27901,1.62459,2.53549,0.00167,0.0018812,0.0018812,0.0018812
8,4170.2,2.10844,1.19343,0.00137,0.70623,0.51984,0.5326,0.28514,1.60563,3.45549,0.00164,0.0018614,0.0018614,0.0018614
9,4774.79,2.0981,1.17054,0.00134,0.70112,0.52832,0.54094,0.29091,1.59691,3.16156,0.00163,0.0018416,0.0018416,0.0018416
10,5402.17,2.09046,1.13896,0.00133,0.70533,0.52584,0.53827,0.28452,1.61831,15.7839,0.00163,0.0018218,0.0018218,0.0018218
11,6030.91,2.08634,1.12783,0.00132,0.71209,0.52794,0.53801,0.28827,1.60094,5.13272,0.00163,0.001802,0.001802,0.001802
12,6489.94,2.09773,1.1413,0.00132,0.69961,0.5339,0.53771,0.28669,1.59726,1.87346,0.00167,0.0017822,0.0017822,0.0017822
13,7114.71,2.07575,1.12416,0.0013,0.71118,0.55393,0.56155,0.30487,1.54844,3.028,0.00158,0.0017624,0.0017624,0.0017624
14,7740.3,2.0366,1.08162,0.00129,0.72411,0.5397,0.55527,0.30279,1.56584,1.25616,0.00158,0.0017426,0.0017426,0.0017426
15,8545.79,2.02637,1.07225,0.00129,0.7142,0.54123,0.55399,0.30094,1.5719,9.16983,0.00158,0.0017228,0.0017228,0.0017228
16,9148.17,2.05056,1.11014,0.00126,0.70471,0.53038,0.54703,0.29893,1.57536,5.86799,0.00161,0.001703,0.001703,0.001703
17,9770.13,2.04309,1.07526,0.00126,0.71781,0.54464,0.55376,0.30261,1.55052,2.62712,0.00155,0.0016832,0.0016832,0.0016832
18,10392.5,2.03166,1.05518,0.00125,0.71247,0.544,0.55665,0.30129,1.58749,2.83127,0.00158,0.0016634,0.0016634,0.0016634
