source_scene_id,split,master_tile_count,no_overlap__low_mask_area_count,no_overlap__high_mask_area_count,overlap__low_mask_area_count,overlap__high_mask_area_count
P0000,train,23,14,3,0,4
P0001,train,1,0,0,0,0
P0013,validation,1,0,0,0,0
P0019,train,3,0,0,0,0
P0021,train,2,0,0,0,0
P0022,validation,17,3,10,1,2
P0023,validation,17,0,17,0,0
P0025,train,1,0,0,0,0
P0027,train,1,0,0,0,0
P0032,train,6,1,2,0,2
P0036,train,18,9,2,0,7
P0038,train,9,0,5,0,3
P0039,train,2,0,0,0,0
P0041,validation,9,3,0,1,5
P0042,train,9,1,0,0,8
P0063,train,2,0,0,0,0
P0064,validation,1,0,0,0,0
P0065,train,1,0,0,0,0
P0066,validation,1,0,0,0,0
P0068,validation,1,0,0,0,0
P0070,train,1,0,0,0,0
P0082,train,1,0,0,0,0
P0083,validation,1,0,0,0,0
P0087,train,2,0,0,0,0
P0096,train,1,0,0,0,0
P0098,train,1,0,0,0,0
P0110,validation,1,0,0,0,0
P0113,test,22,12,1,4,5
P0119,validation,6,1,0,4,1
P0122,train,1,0,0,0,0
P0128,train,1,0,0,0,0
P0133,train,2,0,0,0,0
P0140,train,1,0,0,0,0
P0141,train,2,0,0,0,0
P0160,train,13,8,2,0,3
P0161,train,8,3,0,3,2
P0162,train,4,0,0,4,0
P0167,test,20,10,2,4,4
P0168,train,6,1,0,0,5
P0169,test,19,6,1,8,3
P0170,validation,6,0,0,0,6
P0171,train,6,0,4,0,2
P0172,validation,6,0,0,0,6
P0173,validation,1,0,0,0,1
P0174,train,6,0,0,0,6
P0178,train,7,2,0,0,5
P0179,train,18,4,0,0,14
P0183,train,24,5,5,0,14
P0187,train,6,0,0,0,6
P0188,train,7,3,4,0,0
P0190,train,8,2,2,0,4
P0207,validation,2,0,0,0,2
P0209,train,12,0,0,2,10
P0210,train,6,2,0,0,4
P0213,validation,6,0,0,3,3
P0215,train,8,0,8,0,0
P0217,train,4,0,0,0,4
P0218,train,7,1,1,0,5
P0219,train,6,0,0,0,6
P0220,train,6,2,0,0,4
P0221,train,6,0,0,0,6
P0223,train,4,0,0,2,2
P0227,validation,1,0,0,0,0
P0233,train,1,0,0,0,0
P0248,validation,2,0,0,2,0
P0249,train,2,0,0,2,0
P0250,train,6,4,0,0,2
P0251,validation,6,0,0,0,6
P0254,train,8,1,0,1,6
P0255,train,6,0,0,0,6
P0257,train,4,0,0,0,4
P0258,train,2,0,0,0,2
P0259,train,4,0,0,4,0
P0260,train,1,0,0,0,0
P0261,train,4,4,0,0,0
P0289,train,4,0,0,0,4
P0294,train,4,0,0,0,4
P0301,train,1,1,0,0,0
