image_id,file_name,source_file_name,source_stem,source_scene_id,num_objects,mask_area_pixels,mask_area_ratio,mean_bbox_fill_ratio,median_bbox_fill_ratio,max_pair_bbox_iou,num_bbox_overlap_pairs,has_bbox_overlap,overlap_group,area_group,stratum,split,area_threshold,stratify_by,no_overlap_iou_max,overlap_iou_min,selected_eval,source_image_id
1,P0000_0004.png,P0000_0004.png,P0000_0004,P0000,2,14819,0.0141324996948242,0.2709185765502843,0.2709185765502843,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,1
2,P0000_0005.png,P0000_0005.png,P0000_0005,P0000,2,13405,0.0127840042114257,0.2264842316277763,0.2264842316277763,0.0532227344737357,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,2
3,P0000_0007.png,P0000_0007.png,P0000_0007,P0000,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,3
4,P0000_0010.png,P0000_0010.png,P0000_0010,P0000,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,4
5,P0000_0011.png,P0000_0011.png,P0000_0011,P0000,3,19674,0.0187625885009765,0.2601859309879712,0.2875433343838638,0.0122015824461267,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,5
6,P0000_0012.png,P0000_0012.png,P0000_0012,P0000,1,5515,0.0052595138549804,0.2325434305953786,0.2325434305953786,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,6
7,P0000_0013.png,P0000_0013.png,P0000_0013,P0000,1,5440,0.00518798828125,0.2293810086017878,0.2293810086017878,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,7
8,P0000_0015.png,P0000_0015.png,P0000_0015,P0000,2,11398,0.0108699798583984,0.2206466268471912,0.2206466268471912,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,8
9,P0000_0016.png,P0000_0016.png,P0000_0016,P0000,1,5155,0.0049161911010742,0.2767636636959089,0.2767636636959089,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,9
10,P0000_0017.png,P0000_0017.png,P0000_0017,P0000,1,5987,0.0057096481323242,0.1952197730533455,0.1952197730533455,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,10
11,P0000_0018.png,P0000_0018.png,P0000_0018,P0000,1,6043,0.0057630538940429,0.1982546504379777,0.1982546504379777,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,11
12,P0000_0021.png,P0000_0021.png,P0000_0021,P0000,1,5709,0.0054445266723632,0.2471107648357356,0.2471107648357356,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,12
13,P0000_0022.png,P0000_0022.png,P0000_0022,P0000,3,20197,0.019261360168457,0.2611366930371455,0.2661616161616161,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,13
14,P0000_0023.png,P0000_0023.png,P0000_0023,P0000,5,30619,0.0292005538940429,0.2165683390050482,0.2067841660601841,0.0733955857385399,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,14
15,P0000_0024.png,P0000_0024.png,P0000_0024,P0000,1,3717,0.003544807434082,0.24609375,0.24609375,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,15
16,P0000_0025.png,P0000_0025.png,P0000_0025,P0000,4,16175,0.015425682067871,0.2081238884284758,0.2114513820465877,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,16
17,P0000_0026.png,P0000_0026.png,P0000_0026,P0000,1,4518,0.0043087005615234,0.19973474801061,0.19973474801061,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,17
18,P0000_0028.png,P0000_0028.png,P0000_0028,P0000,1,5659,0.0053968429565429,0.2449465437389083,0.2449465437389083,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,18
19,P0000_0029.png,P0000_0029.png,P0000_0029,P0000,1,7049,0.0067224502563476,0.2230484447679017,0.2230484447679017,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,19
20,P0000_0030.png,P0000_0030.png,P0000_0030,P0000,3,20733,0.0197725296020507,0.2135307571531518,0.2113406955035914,0.0733955857385399,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,20
21,P0000_0031.png,P0000_0031.png,P0000_0031,P0000,2,9544,0.0091018676757812,0.2285795718788755,0.2285795718788755,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,21
22,P0000_0032.png,P0000_0032.png,P0000_0032,P0000,3,10030,0.0095653533935546,0.2089478649708657,0.2215563661629321,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,22
23,P0000_0033.png,P0000_0033.png,P0000_0033,P0000,1,4244,0.0040473937988281,0.1876215738284704,0.1876215738284704,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,23
24,P0001_0004.png,P0001_0004.png,P0001_0004,P0001,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,24
25,P0019_0009.png,P0019_0009.png,P0019_0009,P0019,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,26
26,P0019_0010.png,P0019_0010.png,P0019_0010,P0019,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,27
27,P0019_0018.png,P0019_0018.png,P0019_0018,P0019,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,28
28,P0021_0001.png,P0021_0001.png,P0021_0001,P0021,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,1
29,P0021_0004.png,P0021_0004.png,P0021_0004,P0021,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,2
30,P0025_0015.png,P0025_0015.png,P0025_0015,P0025,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,3
31,P0027_0000.png,P0027_0000.png,P0027_0000,P0027,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,46
32,P0032_0000.png,P0032_0000.png,P0032_0000,P0032,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,4
33,P0032_0001.png,P0032_0001.png,P0032_0001,P0032,5,36951,0.0352392196655273,0.215193829838799,0.1978458049886621,0.0784088438965313,2,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,5
34,P0032_0002.png,P0032_0002.png,P0032_0002,P0032,2,15649,0.0149240493774414,0.2026579725386214,0.2026579725386214,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,6
35,P0032_0003.png,P0032_0003.png,P0032_0003,P0032,4,29171,0.0278196334838867,0.2244176589205386,0.2148687769859915,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,7
36,P0032_0004.png,P0032_0004.png,P0032_0004,P0032,4,29704,0.0283279418945312,0.2054773311607199,0.2142969660621582,0.0165468828346983,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,8
37,P0032_0005.png,P0032_0005.png,P0032_0005,P0032,1,7271,0.0069341659545898,0.2813854489164086,0.2813854489164086,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,9
38,P0036_0002.png,P0036_0002.png,P0036_0002,P0036,2,6425,0.0061273574829101,0.1938564448987258,0.1938564448987258,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,47
