epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.57,1.52302,2.25348,0.00748,0.65876,0.6573,0.68835,0.39982,1.73901,2.28402,0.01626,0.000663024,0.000663024,0.000663024
2,315.04,1.49983,1.04123,0.00734,0.66538,0.71228,0.71316,0.44707,1.70133,2.88787,0.01608,0.00131653,0.00131653,0.00131653
3,466.956,1.50308,1.03113,0.00776,0.85717,0.79389,0.8762,0.54422,1.53716,1.23632,0.01355,0.00195683,0.00195683,0.00195683
4,618.54,1.4712,0.99275,0.00763,0.84238,0.7777,0.85466,0.48729,1.54701,2.13272,0.01327,0.0019406,0.0019406,0.0019406
5,769.143,1.42687,0.91928,0.00701,0.90393,0.8024,0.86997,0.55288,1.56133,1.6606,0.01454,0.0019208,0.0019208,0.0019208
6,921.101,1.32644,0.84592,0.00651,0.90668,0.78586,0.85858,0.56282,1.48364,1.399,0.01323,0.001901,0.001901,0.001901
7,1072.86,1.27001,0.81054,0.00636,0.92007,0.78834,0.88491,0.57177,1.41453,1.15759,0.01142,0.0018812,0.0018812,0.0018812
8,1224.44,1.28346,0.78707,0.00637,0.88615,0.82375,0.89913,0.60539,1.37113,1.01276,0.01179,0.0018614,0.0018614,0.0018614
9,1376.48,1.23379,0.73511,0.00613,0.90522,0.83754,0.91721,0.62529,1.24905,0.94841,0.01062,0.0018416,0.0018416,0.0018416
10,1528.42,1.1967,0.73197,0.00572,0.93498,0.86069,0.9308,0.65015,1.28051,0.9191,0.01096,0.0018218,0.0018218,0.0018218
11,1679.81,1.19292,0.70907,0.00574,0.90719,0.85325,0.9192,0.64305,1.25326,0.90097,0.01093,0.001802,0.001802,0.001802
12,1830.7,1.17277,0.67693,0.00582,0.90355,0.88302,0.93977,0.66412,1.23645,0.82675,0.01035,0.0017822,0.0017822,0.0017822
