source_scene_id,split,master_tile_count,no_overlap__low_mask_area_count,no_overlap__high_mask_area_count,overlap__low_mask_area_count,overlap__high_mask_area_count
P0000,validation,17,3,0,5,4
P0001,train,5,3,0,0,0
P0002,train,9,3,2,1,2
P0003,validation,2,0,1,1,0
P0004,validation,2,0,2,0,0
P0005,train,1,0,0,0,1
P0007,train,4,0,0,0,4
P0008,train,4,2,0,2,0
P0010,validation,6,5,0,0,1
P0011,train,4,0,0,0,4
P0012,train,12,7,1,2,2
P0013,train,4,0,0,2,2
P0018,train,3,0,0,1,2
P0019,train,17,10,0,4,0
P0020,train,33,12,1,7,12
P0021,train,4,3,0,0,1
P0022,train,23,12,0,4,7
P0023,train,18,7,1,1,9
P0025,validation,24,5,0,11,8
P0027,train,3,3,0,0,0
P0029,train,11,3,3,0,4
P0030,train,10,4,3,0,2
P0032,train,3,1,0,0,1
P0036,train,22,12,0,4,5
P0038,train,6,1,0,3,2
P0039,train,17,5,0,7,4
P0041,train,7,2,0,0,2
P0042,train,5,0,0,4,0
P0044,train,4,2,1,0,1
P0047,train,4,0,0,0,4
P0049,train,5,1,0,4,0
P0050,validation,12,2,0,7,3
P0052,train,7,2,0,2,3
P0053,train,4,1,0,3,0
P0054,validation,9,1,1,0,7
P0056,train,1,0,0,0,1
P0058,train,4,4,0,0,0
P0060,train,15,0,0,0,15
P0061,train,6,0,0,0,6
P0063,train,16,0,0,0,16
P0064,train,12,1,0,1,10
P0065,train,12,2,0,4,6
P0066,validation,8,3,2,0,0
P0067,train,4,0,1,0,3
P0068,train,1,0,0,1,0
P0070,train,4,0,0,0,4
P0071,train,1,1,0,0,0
P0076,train,1,1,0,0,0
P0078,train,1,1,0,0,0
P0079,validation,1,1,0,0,0
P0082,validation,21,14,0,1,0
P0083,train,29,19,0,6,0
P0085,train,7,7,0,0,0
P0086,validation,4,0,0,0,4
P0087,train,36,1,1,1,33
P0091,train,1,0,0,0,0
P0093,train,1,0,0,0,0
P0094,train,4,4,0,0,0
P0095,train,2,0,0,0,2
P0096,train,2,0,0,1,0
P0098,validation,2,0,0,0,2
P0099,train,4,0,0,0,4
P0100,train,1,1,0,0,0
P0103,validation,1,1,0,0,0
P0104,train,2,0,0,0,2
P0109,train,4,0,0,0,4
P0111,validation,5,2,0,1,1
P0116,train,1,0,0,0,1
P0117,train,4,1,0,3,0
P0119,train,11,3,0,3,2
P0122,train,4,1,0,1,2
P0123,train,2,0,0,0,2
P0124,train,9,1,0,6,2
P0128,train,5,0,0,2,3
P0129,train,6,0,0,5,0
P0131,train,4,0,2,0,2
P0133,train,4,0,2,0,2
P0136,train,12,11,1,0,0
P0140,train,4,0,1,0,3
P0141,train,12,0,3,0,9
P0142,train,1,1,0,0,0
P0144,validation,1,0,0,0,1
P0146,train,10,0,0,1,9
P0147,train,4,0,0,0,4
P0149,train,1,0,0,0,1
P0150,train,1,0,0,1,0
P0151,train,1,0,0,0,1
P0152,train,1,0,0,0,1
P0158,train,10,8,0,2,0
P0159,validation,1,0,0,1,0
P0160,train,13,5,0,3,5
P0161,train,9,1,0,1,7
P0162,validation,2,0,0,0,0
P0164,train,4,0,0,1,3
P0167,train,9,4,0,2,0
P0168,train,5,3,0,2,0
P0169,validation,16,8,0,0,0
P0170,train,5,1,0,2,2
P0171,train,5,0,5,0,0
P0172,train,7,5,0,1,1
P0173,validation,1,1,0,0,0
P0174,train,6,0,0,3,3
P0175,validation,2,2,0,0,0
P0176,train,1,0,0,1,0
P0178,train,4,1,2,0,0
P0179,train,22,11,0,1,10
P0183,train,23,9,2,4,8
P0186,train,1,0,0,0,0
P0187,train,6,2,0,4,0
P0188,train,9,2,0,5,2
P0189,validation,1,0,0,0,1
P0190,validation,8,1,0,0,6
P0194,train,1,0,0,1,0
P0199,train,4,1,0,1,2
P0200,train,2,0,0,1,1
P0201,validation,4,0,4,0,0
P0202,train,4,0,0,0,4
P0203,train,1,0,0,0,0
P0206,train,4,4,0,0,0
P0207,train,2,1,0,1,0
P0209,validation,13,4,0,5,4
P0210,validation,5,0,0,2,2
P0212,train,1,0,0,0,1
P0213,train,6,2,0,2,2
P0215,validation,7,6,1,0,0
P0217,train,4,2,0,2,0
P0218,train,8,6,0,0,2
P0219,train,2,0,0,0,0
P0220,train,6,0,0,5,1
P0221,train,6,2,0,4,0
P0222,validation,4,0,0,4,0
P0223,train,4,1,0,1,2
P0224,validation,1,0,0,0,1
P0225,train,2,2,0,0,0
P0227,train,6,6,0,0,0
P0228,train,2,1,0,0,0
P0229,train,3,1,0,0,2
P0232,train,4,1,0,0,3
P0233,validation,4,0,0,0,4
P0235,train,3,2,0,0,1
P0236,train,4,4,0,0,0
P0237,train,1,0,0,0,1
P0238,train,4,0,0,2,0
P0241,train,4,4,0,0,0
P0244,validation,2,0,0,0,2
P0246,train,1,0,0,0,1
P0248,validation,2,0,0,2,0
P0249,train,2,0,0,2,0
P0250,train,2,0,0,0,0
P0251,train,5,4,0,1,0
P0252,train,5,1,0,4,0
P0254,train,9,1,0,2,6
P0255,train,6,0,0,2,4
P0256,train,2,1,0,0,1
P0257,train,4,0,0,0,4
P0258,validation,2,0,0,2,0
P0259,train,7,2,0,1,2
P0260,train,6,0,0,2,4
P0261,train,4,0,0,0,4
P0262,train,8,1,0,3,4
P0264,train,1,0,0,0,1
P0270,train,4,1,1,0,2
P0272,validation,1,0,0,0,1
P0273,train,2,0,0,0,2
P0275,validation,4,0,0,0,4
P0276,train,4,0,0,0,4
P0280,train,1,0,1,0,0
P0281,train,2,2,0,0,0
P0282,train,2,0,0,0,2
P0283,validation,2,0,0,0,2
P0285,train,1,1,0,0,0
P0286,train,1,0,0,1,0
P0288,train,4,0,0,0,4
P0289,validation,4,4,0,0,0
P0292,train,2,0,0,0,2
P0293,train,4,2,0,2,0
P0294,train,2,2,0,0,0
P0296,train,3,0,0,2,0
P0299,train,2,0,0,1,1
P0300,train,2,0,0,1,0
P0301,validation,1,1,0,0,0
P0303,train,1,0,0,0,1
P0305,train,1,0,0,0,1
P0310,train,6,4,2,0,0
P0313,train,3,1,0,2,0
P0314,train,2,0,0,2,0
P0315,validation,4,4,0,0,0
P0317,train,3,0,0,0,3
P0321,train,2,0,0,0,0
P0322,validation,4,1,0,0,0
P0324,train,4,1,0,0,3
P0327,train,6,0,0,2,4
P0329,train,1,0,0,0,1
P0330,train,2,0,0,0,2
P0331,train,4,1,1,1,0
P0332,validation,4,2,0,0,2
P0334,train,8,5,0,0,0
P0335,train,3,2,0,0,0
P0336,validation,4,4,0,0,0
P0337,validation,3,1,0,1,1
P0338,train,2,0,0,1,0
P0339,train,6,6,0,0,0
P0340,train,8,0,0,2,5
P0342,train,1,0,0,0,1
P0343,validation,2,0,0,0,0
P0344,train,3,1,0,1,0
P0345,train,3,1,0,2,0
P0346,train,15,4,0,5,4
P0347,train,3,0,0,2,0
P0349,train,7,2,0,3,0
P0350,train,2,2,0,0,0
P0352,train,4,2,0,1,1
P0353,train,4,0,0,0,4
P0355,train,1,0,0,0,0
P0357,train,4,4,0,0,0
P0358,train,2,2,0,0,0
P0360,train,1,0,0,1,0
P0362,train,1,0,0,1,0
P0363,train,2,0,0,0,2
P0364,validation,1,0,0,0,1
P0365,train,2,0,0,0,2
P0366,train,1,1,0,0,0
P0367,train,1,1,0,0,0
P0368,train,2,0,0,0,2
P0370,validation,1,0,0,0,1
P0371,train,2,1,0,0,1
P0373,train,1,0,0,0,1
P0374,train,4,1,0,1,2
P0375,train,1,0,0,0,1
P0376,train,1,0,0,0,1
P0377,train,1,0,0,0,0
P0378,validation,4,0,0,0,4
P0379,train,1,1,0,0,0
P0380,train,1,0,0,0,1
P0381,train,2,0,2,0,0
P0382,train,4,0,0,1,3
P0383,train,2,0,0,1,1
P0384,train,1,1,0,0,0
P0385,train,1,0,0,1,0
P0386,train,1,1,0,0,0
P0387,train,2,0,0,1,1
P0388,train,2,0,0,2,0
P0389,train,2,0,0,1,1
P0391,train,1,0,0,0,0
P0392,train,2,2,0,0,0
P0396,train,1,0,0,0,0
P0400,train,2,0,0,0,2
P0401,train,1,0,0,0,1
P0404,validation,2,0,0,2,0
P0405,train,2,0,0,2,0
P0406,train,2,0,0,2,0
P0407,train,2,0,0,2,0
P0411,validation,2,0,0,2,0
P0413,validation,2,2,0,0,0
P0414,train,2,0,0,2,0
P0415,train,2,0,0,2,0
P0416,train,2,0,0,2,0
P0417,train,2,0,0,2,0
P0418,train,2,2,0,0,0
P0420,train,4,4,0,0,0
P0421,train,4,0,0,4,0
P0422,train,1,0,0,0,0
P0424,validation,4,4,0,0,0
P0425,validation,2,2,0,0,0
P0426,train,1,1,0,0,0
P0428,train,2,2,0,0,0
P0430,train,4,1,0,3,0
P0431,train,4,0,0,4,0
P0432,train,1,0,0,1,0
P0434,validation,2,0,1,0,1
P0436,train,2,1,0,1,0
P0437,train,2,0,0,2,0
P0438,train,3,1,0,2,0
P0440,train,3,2,0,1,0
P0441,validation,3,1,0,1,0
P0442,train,2,1,0,1,0
P0443,train,4,0,0,4,0
P0445,train,2,0,0,0,2
P0446,train,2,1,0,1,0
P0448,train,1,1,0,0,0
P0450,train,1,1,0,0,0
P0452,validation,2,1,0,0,0
P0453,train,2,2,0,0,0
P0454,train,2,0,0,0,2
P0455,validation,2,0,0,0,2
P0457,train,1,1,0,0,0
P0458,train,4,0,0,4,0
P0459,validation,1,0,0,0,1
P0461,train,2,0,0,2,0
P0464,train,4,0,3,0,1
P0465,train,4,0,0,0,4
P0468,train,2,0,0,2,0
P0469,validation,1,1,0,0,0
P0471,train,1,0,0,1,0
P0475,train,2,0,0,0,2
P0476,train,4,0,0,0,4
P0477,train,2,0,0,0,2
P0478,train,2,2,0,0,0
P0481,train,1,1,0,0,0
P0484,validation,1,0,0,0,1
P0486,train,2,0,0,0,2
P0487,train,1,0,0,0,0
P0489,train,1,0,0,1,0
P0493,train,1,0,0,0,1
P0494,train,11,5,0,4,2
P0499,validation,4,0,0,4,0
P0503,train,4,2,0,0,2
P0504,train,2,0,0,1,1
P0505,train,3,3,0,0,0
P0510,train,2,0,0,0,2
P0516,train,4,0,0,0,4
P0517,train,4,0,2,0,2
P0518,validation,1,0,0,0,0
P0520,validation,2,0,0,0,0
P0521,train,1,0,0,0,0
P0522,train,1,0,0,0,0
P0524,validation,4,4,0,0,0
P0526,train,1,1,0,0,0
P0527,validation,2,2,0,0,0
P0531,train,3,0,0,0,0
P0533,validation,4,4,0,0,0
P0535,train,2,0,0,0,2
P0537,train,2,0,0,0,0
P0541,train,3,2,0,0,0
P0543,validation,1,0,0,0,0
P0544,train,3,3,0,0,0
P0546,train,2,0,0,0,2
P0548,train,2,0,0,0,2
P0550,train,2,2,0,0,0
P0551,validation,1,1,0,0,0
P0554,train,2,2,0,0,0
