epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1017.29,1.97532,1.51868,0.0018,0.77627,0.70937,0.73694,0.36155,1.6342,1.12488,0.00204,0.00998466,0.00332822,0.00998466,0.00332822,0.00998466,0.00332822,0.00998466,0.00332822
2,2144.17,1.86492,0.96739,0.00161,0.78536,0.73307,0.75191,0.37427,1.60102,0.75917,0.00204,0.0197868,0.0065956,0.0197868,0.0065956,0.0197868,0.0065956,0.0197868,0.0065956
3,2908.52,1.86684,0.94593,0.00164,0.75228,0.71311,0.71541,0.34568,1.65178,0.96412,0.00209,0.029391,0.00979699,0.029391,0.00979699,0.029391,0.00979699,0.029391,0.00979699
4,3662.63,1.88167,0.94862,0.00165,0.78004,0.70397,0.73909,0.36927,1.58136,1.05733,0.00198,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4708.91,1.87111,0.88088,0.00162,0.7838,0.749,0.76368,0.38746,1.59618,0.80367,0.00202,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,886.554,1.83767,0.85001,0.00158,0.79122,0.7477,0.76813,0.39233,1.56353,0.84075,0.00197,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1998.52,1.83433,0.83341,0.00156,0.80772,0.75264,0.78106,0.40607,1.53322,0.74735,0.00192,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,887.576,1.767,0.75444,0.00149,0.79686,0.76679,0.77873,0.40025,1.47941,0.95554,0.00193,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,954.964,1.7636,0.77067,0.00154,0.80464,0.76919,0.78545,0.40488,1.5018,1.05587,0.00197,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2369.53,1.77033,0.77045,0.00152,0.79127,0.76362,0.78021,0.39839,1.50411,1.11366,0.00196,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2987.57,1.73751,0.74495,0.00151,0.80237,0.78408,0.79126,0.4093,1.46984,1.26218,0.00191,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4026.23,1.73828,0.73654,0.00149,0.80156,0.79001,0.79236,0.41914,1.47621,1.15528,0.00195,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
