Experiment,Model,BBox source,Baseline reference,Avg IoU,Avg Dice,Avg Precision,Avg Recall
iSAID Plane,SAM1,YOLO bbox,Human,0.597,0.711,0.627,0.842
iSAID Plane,SAM2,YOLO bbox,Human,0.574,0.692,0.595,0.852
iSAID Plane,SAM3,YOLO bbox,Human,0.638,0.740,0.682,0.825
iSAID Small Vehicle,SAM1,YOLO bbox,Human,0.478,0.564,0.529,0.635
iSAID Small Vehicle,SAM2,YOLO bbox,Human,0.461,0.552,0.499,0.647
iSAID Small Vehicle,SAM3,YOLO bbox,Human,0.491,0.577,0.540,0.640
SAMRS Plane,SAM1,YOLO bbox,Published SAMRS,0.813,0.824,0.827,0.824
SAMRS Plane,SAM2,YOLO bbox,Published SAMRS,0.679,0.744,0.705,0.805
SAMRS Plane,SAM3,YOLO bbox,Published SAMRS,0.691,0.754,0.793,0.727
SAMRS Small Vehicle,SAM1,YOLO bbox,Published SAMRS,0.782,0.801,0.807,0.798
SAMRS Small Vehicle,SAM2,YOLO bbox,Published SAMRS,0.707,0.757,0.752,0.772
SAMRS Small Vehicle,SAM3,YOLO bbox,Published SAMRS,0.707,0.757,0.770,0.754
