Experiment,Model,Baseline IoU,Own-reference IoU,Delta,CI lower,CI upper
iSAID Plane,SAM1,0.597033,0.873266,0.276232,0.257421,0.296815
iSAID Plane,SAM2,0.573660,0.852570,0.278910,0.258023,0.302061
iSAID Plane,SAM3,0.638357,0.862567,0.224210,0.208461,0.239944
iSAID Small Vehicle,SAM1,0.477966,0.653713,0.175747,0.158955,0.194035
iSAID Small Vehicle,SAM2,0.460845,0.623649,0.162804,0.142775,0.180074
iSAID Small Vehicle,SAM3,0.491179,0.633216,0.142037,0.127600,0.157699
SAMRS Plane,SAM1,0.812652,0.818049,0.005397,0.001967,0.010668
SAMRS Plane,SAM2,0.678581,0.784843,0.106262,0.094180,0.123048
SAMRS Plane,SAM3,0.691257,0.799332,0.108076,0.091118,0.128200
SAMRS Small Vehicle,SAM1,0.781936,0.782146,0.000210,0.000043,0.000392
SAMRS Small Vehicle,SAM2,0.707229,0.748770,0.041541,0.029932,0.053916
SAMRS Small Vehicle,SAM3,0.706556,0.760182,0.053626,0.044421,0.063088
