Experiment,Scene group,Model,Own-label IoU,Other-SAM-label mean IoU,Extra IoU
iSAID Plane,no overlap × low mask area,SAM1,0.852,0.707,0.144
iSAID Plane,no overlap × low mask area,SAM2,0.828,0.693,0.136
iSAID Plane,no overlap × low mask area,SAM3,0.845,0.682,0.163
iSAID Plane,no overlap × high mask area,SAM1,0.881,0.743,0.138
iSAID Plane,no overlap × high mask area,SAM2,0.872,0.742,0.130
iSAID Plane,no overlap × high mask area,SAM3,0.873,0.719,0.154
iSAID Plane,overlap × low mask area,SAM1,0.868,0.725,0.143
iSAID Plane,overlap × low mask area,SAM2,0.840,0.703,0.137
iSAID Plane,overlap × low mask area,SAM3,0.853,0.692,0.161
iSAID Plane,overlap × high mask area,SAM1,0.878,0.765,0.113
iSAID Plane,overlap × high mask area,SAM2,0.860,0.747,0.113
iSAID Plane,overlap × high mask area,SAM3,0.869,0.748,0.121
iSAID Small Vehicle,no overlap × low mask area,SAM1,0.640,0.548,0.092
iSAID Small Vehicle,no overlap × low mask area,SAM2,0.614,0.546,0.067
iSAID Small Vehicle,no overlap × low mask area,SAM3,0.615,0.554,0.061
iSAID Small Vehicle,no overlap × high mask area,SAM1,0.793,0.718,0.075
iSAID Small Vehicle,no overlap × high mask area,SAM2,0.763,0.720,0.043
iSAID Small Vehicle,no overlap × high mask area,SAM3,0.774,0.718,0.056
iSAID Small Vehicle,overlap × low mask area,SAM1,0.461,0.380,0.081
iSAID Small Vehicle,overlap × low mask area,SAM2,0.444,0.375,0.069
iSAID Small Vehicle,overlap × low mask area,SAM3,0.447,0.383,0.064
iSAID Small Vehicle,overlap × high mask area,SAM1,0.666,0.560,0.106
iSAID Small Vehicle,overlap × high mask area,SAM2,0.633,0.552,0.081
iSAID Small Vehicle,overlap × high mask area,SAM3,0.644,0.563,0.081
SAMRS Plane,no overlap × low mask area,SAM1,0.784,0.659,0.125
SAMRS Plane,no overlap × low mask area,SAM2,0.745,0.634,0.111
SAMRS Plane,no overlap × low mask area,SAM3,0.759,0.648,0.111
SAMRS Plane,no overlap × high mask area,SAM1,0.909,0.765,0.144
SAMRS Plane,no overlap × high mask area,SAM2,0.893,0.767,0.126
SAMRS Plane,no overlap × high mask area,SAM3,0.901,0.752,0.150
SAMRS Plane,overlap × low mask area,SAM1,0.678,0.534,0.143
SAMRS Plane,overlap × low mask area,SAM2,0.630,0.499,0.131
SAMRS Plane,overlap × low mask area,SAM3,0.655,0.523,0.133
SAMRS Plane,overlap × high mask area,SAM1,0.897,0.772,0.124
SAMRS Plane,overlap × high mask area,SAM2,0.870,0.753,0.117
SAMRS Plane,overlap × high mask area,SAM3,0.879,0.748,0.131
SAMRS Small Vehicle,no overlap × low mask area,SAM1,0.616,0.556,0.060
SAMRS Small Vehicle,no overlap × low mask area,SAM2,0.593,0.558,0.036
SAMRS Small Vehicle,no overlap × low mask area,SAM3,0.598,0.550,0.048
SAMRS Small Vehicle,no overlap × high mask area,SAM1,0.809,0.756,0.053
SAMRS Small Vehicle,no overlap × high mask area,SAM2,0.792,0.758,0.034
SAMRS Small Vehicle,no overlap × high mask area,SAM3,0.799,0.752,0.048
SAMRS Small Vehicle,overlap × low mask area,SAM1,0.672,0.577,0.095
SAMRS Small Vehicle,overlap × low mask area,SAM2,0.629,0.584,0.045
SAMRS Small Vehicle,overlap × low mask area,SAM3,0.640,0.577,0.063
SAMRS Small Vehicle,overlap × high mask area,SAM1,0.854,0.765,0.089
SAMRS Small Vehicle,overlap × high mask area,SAM2,0.817,0.771,0.046
SAMRS Small Vehicle,overlap × high mask area,SAM3,0.832,0.767,0.065
